date,date,price,signal,MA_trend,MACD_signal,RSI_signal,STOCH_signal,CCI_signal
2014-01-02,2014-01-02,250.0,HOLD,,,,,
2014-01-03,2014-01-03,250.0,HOLD,,,,,
2014-01-08,2014-01-08,250.0,HOLD,,,,,
2014-01-09,2014-01-09,250.0,HOLD,,,,,
2014-01-10,2014-01-10,250.0,HOLD,,,,,
2014-01-13,2014-01-13,250.0,HOLD,,,,,
2014-01-14,2014-01-14,250.0,HOLD,,,,,
2014-01-15,2014-01-15,250.0,HOLD,,,,,
2014-01-16,2014-01-16,250.0,HOLD,,,,,
2014-01-17,2014-01-17,250.0,HOLD,,,,,
2014-01-20,2014-01-20,250.0,HOLD,,,,,
2014-01-21,2014-01-21,250.0,HOLD,,,,,
2014-01-22,2014-01-22,250.0,HOLD,,,,,
2014-01-23,2014-01-23,250.0,HOLD,,,,,
2014-01-24,2014-01-24,250.0,HOLD,,,,,
2014-01-27,2014-01-27,250.0,HOLD,,,,,
2014-01-28,2014-01-28,250.0,HOLD,,,,,
2014-01-29,2014-01-29,250.0,HOLD,,,,,
2014-01-30,2014-01-30,250.0,HOLD,,,,,
2014-01-31,2014-01-31,251.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,OVERBOUGHT
2014-02-03,2014-02-03,251.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,
2014-02-04,2014-02-04,251.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-02-05,2014-02-05,251.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-02-06,2014-02-06,251.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-02-07,2014-02-07,251.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-02-10,2014-02-10,251.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-02-11,2014-02-11,251.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-02-12,2014-02-12,251.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-02-13,2014-02-13,251.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-02-14,2014-02-14,251.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-02-17,2014-02-17,251.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-02-18,2014-02-18,251.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-02-19,2014-02-19,251.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-02-20,2014-02-20,251.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2014-02-21,2014-02-21,251.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2014-02-24,2014-02-24,251.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2014-02-25,2014-02-25,251.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2014-02-26,2014-02-26,251.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2014-02-27,2014-02-27,251.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2014-02-28,2014-02-28,251.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2014-03-03,2014-03-03,251.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2014-03-04,2014-03-04,251.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2014-03-05,2014-03-05,251.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2014-03-06,2014-03-06,251.0,HOLD,BULLISH,BULLISH,,,
2014-03-07,2014-03-07,251.0,HOLD,BULLISH,BULLISH,,,
2014-03-10,2014-03-10,251.0,HOLD,BULLISH,BULLISH,,,
2014-03-11,2014-03-11,251.0,HOLD,BULLISH,BULLISH,,,
2014-03-12,2014-03-12,251.0,HOLD,BULLISH,BULLISH,,,
2014-03-13,2014-03-13,251.0,HOLD,BULLISH,BULLISH,,,
2014-03-14,2014-03-14,250.0,BUY,BULLISH,BULLISH,OVERSOLD,,OVERBOUGHT
2014-03-17,2014-03-17,250.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
