date,date,price,signal,MA_trend,MACD_signal,RSI_signal,STOCH_signal,CCI_signal
2014-01-31,2014-01-31,251.0,HOLD,,,,,
2014-02-28,2014-02-28,251.0,HOLD,,,,,
2014-03-31,2014-03-31,250.0,HOLD,,BEARISH,,,
2014-04-30,2014-04-30,250.0,HOLD,,BEARISH,,,
2014-05-31,2014-05-31,250.0,HOLD,,BEARISH,,,
2014-06-30,2014-06-30,250.0,HOLD,,BEARISH,,,
2014-07-31,2014-07-31,250.0,HOLD,,BEARISH,,,
2014-08-31,2014-08-31,243.0,HOLD,,BEARISH,,,
2014-09-30,2014-09-30,250.0,HOLD,,BEARISH,,,
2014-10-31,2014-10-31,250.0,HOLD,,BEARISH,,,
2014-11-30,2014-11-30,305.0,HOLD,,BULLISH,,,
2014-12-31,2014-12-31,357.0,HOLD,,BULLISH,,,
2015-01-31,2015-01-31,367.0,HOLD,,BULLISH,,,
2015-02-28,2015-02-28,367.0,HOLD,,BULLISH,OVERBOUGHT,,
2015-03-31,2015-03-31,375.0,HOLD,,BULLISH,OVERBOUGHT,,
2015-04-30,2015-04-30,310.0,HOLD,,BULLISH,,,
2015-05-31,2015-05-31,310.0,HOLD,,BULLISH,,,
2015-06-30,2015-06-30,250.0,HOLD,,BULLISH,,,
2015-07-31,2015-07-31,250.0,HOLD,,BULLISH,,,
2015-08-31,2015-08-31,265.0,HOLD,BEARISH,BULLISH,,,
2015-09-30,2015-09-30,265.0,HOLD,BEARISH,BULLISH,,,
2015-10-31,2015-10-31,299.0,HOLD,BEARISH,BULLISH,,,
2015-11-30,2015-11-30,345.0,HOLD,BEARISH,BULLISH,,,
2015-12-31,2015-12-31,345.0,HOLD,BEARISH,BULLISH,,,
2016-01-31,2016-01-31,345.0,HOLD,BEARISH,BULLISH,,,
2016-02-29,2016-02-29,345.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2016-03-31,2016-03-31,325.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2016-04-30,2016-04-30,300.0,HOLD,BEARISH,BULLISH,,,
2016-05-31,2016-05-31,301.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2016-06-30,2016-06-30,300.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2016-07-31,2016-07-31,300.0,BUY,BULLISH,BULLISH,,OVERBOUGHT,OVERSOLD
2016-08-31,2016-08-31,350.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2016-09-30,2016-09-30,385.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2016-10-31,2016-10-31,481.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2016-11-30,2016-11-30,600.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2016-12-31,2016-12-31,665.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-01-31,2017-01-31,731.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-02-28,2017-02-28,707.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-03-31,2017-03-31,639.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-04-30,2017-04-30,680.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-05-31,2017-05-31,680.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2017-06-30,2017-06-30,680.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2017-07-31,2017-07-31,680.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2017-08-31,2017-08-31,680.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2017-09-30,2017-09-30,659.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2017-10-31,2017-10-31,550.0,HOLD,BEARISH,BULLISH,,,
2017-11-30,2017-11-30,534.0,HOLD,BEARISH,BULLISH,,,
2017-12-31,2017-12-31,534.0,HOLD,BEARISH,BULLISH,,,
2018-01-31,2018-01-31,490.0,HOLD,BEARISH,BULLISH,,,
2018-02-28,2018-02-28,490.0,BUY,BULLISH,BULLISH,OVERSOLD,,
2018-03-31,2018-03-31,490.0,BUY,BULLISH,BULLISH,OVERSOLD,,
2018-04-30,2018-04-30,490.0,BUY,BULLISH,BULLISH,OVERSOLD,,OVERSOLD
2018-05-31,2018-05-31,490.0,BUY,BULLISH,BULLISH,OVERSOLD,,OVERSOLD
2018-06-30,2018-06-30,490.0,BUY,BULLISH,BULLISH,OVERSOLD,,OVERSOLD
2018-07-31,2018-07-31,558.0,BUY,BULLISH,BULLISH,OVERSOLD,,
2018-08-31,2018-08-31,574.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2018-09-30,2018-09-30,560.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERBOUGHT,
2018-10-31,2018-10-31,560.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERBOUGHT,
2018-11-30,2018-11-30,700.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,OVERBOUGHT
2018-12-31,2018-12-31,660.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERBOUGHT
2019-01-31,2019-01-31,660.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2019-02-28,2019-02-28,660.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2019-03-31,2019-03-31,691.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2019-04-30,2019-04-30,648.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2019-05-31,2019-05-31,700.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2019-06-30,2019-06-30,679.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2019-07-31,2019-07-31,679.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2019-08-31,2019-08-31,660.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2019-09-30,2019-09-30,660.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2019-10-31,2019-10-31,660.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2019-11-30,2019-11-30,660.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2019-12-31,2019-12-31,660.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2020-01-31,2020-01-31,660.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2020-02-29,2020-02-29,660.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2020-03-31,2020-03-31,660.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2020-04-30,2020-04-30,660.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2020-05-31,2020-05-31,660.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2020-06-30,2020-06-30,618.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2020-07-31,2020-07-31,618.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERBOUGHT,
2020-08-31,2020-08-31,618.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERBOUGHT,
2020-09-30,2020-09-30,618.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERBOUGHT,
2020-10-31,2020-10-31,618.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERBOUGHT,
2020-11-30,2020-11-30,700.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2020-12-31,2020-12-31,679.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2021-01-31,2021-01-31,690.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2021-02-28,2021-02-28,731.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERBOUGHT
2021-03-31,2021-03-31,750.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2021-04-30,2021-04-30,750.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2021-05-31,2021-05-31,633.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2021-06-30,2021-06-30,661.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2021-07-31,2021-07-31,652.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2021-08-31,2021-08-31,652.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2021-09-30,2021-09-30,700.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2021-10-31,2021-10-31,700.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2021-11-30,2021-11-30,700.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2021-12-31,2021-12-31,700.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERSOLD
2022-01-31,2022-01-31,711.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2022-02-28,2022-02-28,750.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2022-03-31,2022-03-31,760.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2022-04-30,2022-04-30,760.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERSOLD
2022-05-31,2022-05-31,805.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2022-06-30,2022-06-30,805.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERSOLD
2022-07-31,2022-07-31,815.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2022-08-31,2022-08-31,815.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERSOLD
2022-09-30,2022-09-30,815.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2022-10-31,2022-10-31,815.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2022-11-30,2022-11-30,815.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2022-12-31,2022-12-31,840.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2023-01-31,2023-01-31,840.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2023-02-28,2023-02-28,722.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2023-03-31,2023-03-31,722.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2023-04-30,2023-04-30,722.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2023-05-31,2023-05-31,722.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2023-06-30,2023-06-30,722.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2023-07-31,2023-07-31,865.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2023-08-31,2023-08-31,865.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2023-09-30,2023-09-30,865.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2023-10-31,2023-10-31,1000.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2023-11-30,2023-11-30,1000.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2023-12-31,2023-12-31,1000.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2024-01-31,2024-01-31,1200.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2024-02-29,2024-02-29,1200.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2024-03-31,2024-03-31,1200.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2024-04-30,2024-04-30,1200.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2024-05-31,2024-05-31,1690.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2024-06-30,2024-06-30,1600.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2024-07-31,2024-07-31,1500.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2024-08-31,2024-08-31,1600.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2024-09-30,2024-09-30,1800.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2024-10-31,2024-10-31,1650.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2024-11-30,2024-11-30,1650.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2024-12-31,2024-12-31,1650.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
