date,date,price,signal,MA_trend,MACD_signal,RSI_signal,STOCH_signal,CCI_signal
2014-01-05,2014-01-05,250.0,HOLD,,,,,
2014-01-12,2014-01-12,250.0,HOLD,,,,,
2014-01-19,2014-01-19,250.0,HOLD,,,,,
2014-01-26,2014-01-26,250.0,HOLD,,,,,
2014-02-02,2014-02-02,251.0,HOLD,,BULLISH,,,
2014-02-09,2014-02-09,251.0,HOLD,,BULLISH,,,
2014-02-16,2014-02-16,251.0,HOLD,,BULLISH,,,
2014-02-23,2014-02-23,251.0,HOLD,,BULLISH,,,
2014-03-02,2014-03-02,251.0,HOLD,,BULLISH,,,
2014-03-09,2014-03-09,251.0,HOLD,,BULLISH,,,
2014-03-16,2014-03-16,250.0,HOLD,,BULLISH,,,
2014-03-23,2014-03-23,250.0,HOLD,,BULLISH,,,
2014-03-30,2014-03-30,250.0,HOLD,,BULLISH,,,
2014-04-06,2014-04-06,250.0,HOLD,,BULLISH,,,
2014-04-13,2014-04-13,250.0,HOLD,,BULLISH,,,
2014-04-20,2014-04-20,250.0,HOLD,,BEARISH,,OVERBOUGHT,
2014-04-27,2014-04-27,250.0,HOLD,,BEARISH,,OVERBOUGHT,
2014-05-04,2014-05-04,250.0,HOLD,,BEARISH,,OVERBOUGHT,
2014-05-11,2014-05-11,250.0,HOLD,,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-18,2014-05-18,250.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-25,2014-05-25,250.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERBOUGHT
2014-06-01,2014-06-01,250.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-06-08,2014-06-08,250.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-06-15,2014-06-15,250.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-06-22,2014-06-22,250.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-06-29,2014-06-29,250.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-07-06,2014-07-06,250.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-07-13,2014-07-13,250.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-07-20,2014-07-20,250.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-07-27,2014-07-27,250.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2014-08-03,2014-08-03,250.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2014-08-10,2014-08-10,250.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2014-08-17,2014-08-17,243.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERBOUGHT
2014-08-24,2014-08-24,243.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-08-31,2014-08-31,243.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-09-07,2014-09-07,243.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-09-14,2014-09-14,250.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,OVERBOUGHT
2014-09-21,2014-09-21,250.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-09-28,2014-09-28,250.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-10-05,2014-10-05,250.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-10-12,2014-10-12,250.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-10-19,2014-10-19,250.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2014-10-26,2014-10-26,250.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2014-11-02,2014-11-02,250.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2014-11-09,2014-11-09,250.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2014-11-16,2014-11-16,305.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-11-23,2014-11-23,305.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-11-30,2014-11-30,305.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-12-07,2014-12-07,410.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-12-14,2014-12-14,410.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-12-21,2014-12-21,410.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-12-28,2014-12-28,357.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,OVERBOUGHT
2015-01-04,2015-01-04,357.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,
2015-01-11,2015-01-11,357.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,
2015-01-18,2015-01-18,357.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,
2015-01-25,2015-01-25,357.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,
2015-02-01,2015-02-01,367.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2015-02-08,2015-02-08,367.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
