date,date,price,signal,MA_trend,MACD_signal,RSI_signal,STOCH_signal,CCI_signal
2014-01-02,2014-01-02,4422.0,HOLD,,,,,
2014-01-03,2014-01-03,4500.0,HOLD,,BULLISH,,,
2014-01-08,2014-01-08,4450.0,HOLD,,BULLISH,,,
2014-01-09,2014-01-09,4400.0,HOLD,,BULLISH,,,
2014-01-10,2014-01-10,4455.0,HOLD,,BULLISH,,,
2014-01-13,2014-01-13,4401.0,HOLD,,BULLISH,,,
2014-01-14,2014-01-14,4430.0,HOLD,,BULLISH,,,
2014-01-15,2014-01-15,4430.0,HOLD,,BULLISH,,,
2014-01-16,2014-01-16,4402.0,HOLD,,BEARISH,,,
2014-01-17,2014-01-17,4420.0,HOLD,,BEARISH,,,
2014-01-20,2014-01-20,4430.0,HOLD,,BEARISH,,,
2014-01-21,2014-01-21,4420.0,HOLD,,BEARISH,,,
2014-01-22,2014-01-22,4420.0,HOLD,,BEARISH,,,
2014-01-23,2014-01-23,4421.0,HOLD,,BEARISH,,,
2014-01-24,2014-01-24,4450.0,HOLD,,BULLISH,,,
2014-01-27,2014-01-27,4450.0,HOLD,,BULLISH,,,
2014-01-28,2014-01-28,4421.0,HOLD,,BULLISH,,,
2014-01-29,2014-01-29,4450.0,HOLD,,BULLISH,,,
2014-01-30,2014-01-30,4500.0,HOLD,,BULLISH,,,
2014-01-31,2014-01-31,4450.0,HOLD,BEARISH,BULLISH,,,
2014-02-03,2014-02-03,4413.0,HOLD,BEARISH,BULLISH,,,
2014-02-04,2014-02-04,4412.0,HOLD,BEARISH,BULLISH,,,
2014-02-05,2014-02-05,4412.0,HOLD,BEARISH,BULLISH,,OVERSOLD,
2014-02-06,2014-02-06,4420.0,HOLD,BULLISH,BEARISH,,OVERSOLD,
2014-02-07,2014-02-07,4450.0,HOLD,BEARISH,BULLISH,,,
2014-02-10,2014-02-10,4450.0,HOLD,BEARISH,BULLISH,,,
2014-02-11,2014-02-11,4453.0,HOLD,BEARISH,BULLISH,,,OVERBOUGHT
2014-02-12,2014-02-12,4450.0,HOLD,BEARISH,BULLISH,,,
2014-02-13,2014-02-13,4451.0,HOLD,BEARISH,BULLISH,,,
2014-02-14,2014-02-14,4450.0,HOLD,BEARISH,BULLISH,,,
2014-02-17,2014-02-17,4450.0,HOLD,BEARISH,BULLISH,,,
2014-02-18,2014-02-18,4451.0,HOLD,BEARISH,BULLISH,,,
2014-02-19,2014-02-19,4499.0,HOLD,BEARISH,BULLISH,,,OVERBOUGHT
2014-02-20,2014-02-20,4499.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERBOUGHT
2014-02-21,2014-02-21,4500.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-02-24,2014-02-24,4500.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-02-25,2014-02-25,4500.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-02-26,2014-02-26,4500.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-02-27,2014-02-27,4500.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-02-28,2014-02-28,4500.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-03-03,2014-03-03,4520.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-03-04,2014-03-04,4500.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,
2014-03-05,2014-03-05,4500.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,
2014-03-06,2014-03-06,4520.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-03-07,2014-03-07,4550.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-03-10,2014-03-10,4550.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-03-11,2014-03-11,4500.0,HOLD,BEARISH,BULLISH,,,
2014-03-12,2014-03-12,4600.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,OVERBOUGHT
2014-03-13,2014-03-13,4595.0,HOLD,BEARISH,BULLISH,,,OVERBOUGHT
2014-03-14,2014-03-14,4640.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-03-17,2014-03-17,4700.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-03-18,2014-03-18,4650.0,HOLD,BEARISH,BULLISH,,,OVERBOUGHT
2014-03-19,2014-03-19,4600.0,HOLD,BEARISH,BULLISH,,,
2014-03-20,2014-03-20,4600.0,HOLD,BEARISH,BULLISH,,,
2014-03-21,2014-03-21,4600.0,HOLD,BEARISH,BULLISH,,,
2014-03-24,2014-03-24,4601.0,HOLD,BEARISH,BULLISH,,,
2014-03-25,2014-03-25,4600.0,HOLD,BEARISH,BULLISH,,,
2014-03-26,2014-03-26,4602.0,HOLD,BEARISH,BULLISH,,,
2014-03-27,2014-03-27,4651.0,HOLD,BEARISH,BULLISH,,,
2014-03-28,2014-03-28,4650.0,HOLD,BEARISH,BULLISH,,,
2014-03-31,2014-03-31,4650.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,
2014-04-01,2014-04-01,4601.0,HOLD,BEARISH,BULLISH,,,
2014-04-02,2014-04-02,4648.0,HOLD,BEARISH,BULLISH,,,
2014-04-03,2014-04-03,4600.0,HOLD,BEARISH,BULLISH,,OVERSOLD,
2014-04-04,2014-04-04,4551.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERSOLD,
2014-04-07,2014-04-07,4500.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERSOLD,OVERSOLD
2014-04-08,2014-04-08,4500.0,BUY,BULLISH,BULLISH,,OVERSOLD,OVERSOLD
2014-04-09,2014-04-09,4500.0,HOLD,BULLISH,BEARISH,,OVERSOLD,OVERSOLD
2014-04-10,2014-04-10,4600.0,HOLD,BULLISH,BULLISH,,,
2014-04-11,2014-04-11,4600.0,BUY,BULLISH,BULLISH,,,OVERSOLD
2014-04-14,2014-04-14,4579.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
