date,date,price,signal,MA_trend,MACD_signal,RSI_signal,STOCH_signal,CCI_signal
2014-01-05,2014-01-05,4500.0,HOLD,,,,,
2014-01-12,2014-01-12,4455.0,HOLD,,BEARISH,,,
2014-01-19,2014-01-19,4420.0,HOLD,,BEARISH,,,
2014-01-26,2014-01-26,4450.0,HOLD,,BEARISH,,,
2014-02-02,2014-02-02,4450.0,HOLD,,BEARISH,,,
2014-02-09,2014-02-09,4450.0,HOLD,,BEARISH,,,
2014-02-16,2014-02-16,4450.0,HOLD,,BEARISH,,,
2014-02-23,2014-02-23,4500.0,HOLD,,BEARISH,,,
2014-03-02,2014-03-02,4500.0,HOLD,,BEARISH,,,
2014-03-09,2014-03-09,4550.0,HOLD,,BEARISH,,,
2014-03-16,2014-03-16,4640.0,HOLD,,BULLISH,,,
2014-03-23,2014-03-23,4600.0,HOLD,,BULLISH,,,
2014-03-30,2014-03-30,4650.0,HOLD,,BULLISH,,,
2014-04-06,2014-04-06,4551.0,HOLD,,BULLISH,,,
2014-04-13,2014-04-13,4600.0,HOLD,,BULLISH,,,
2014-04-20,2014-04-20,4599.0,HOLD,,BULLISH,,OVERBOUGHT,
2014-04-27,2014-04-27,4380.0,HOLD,,BULLISH,,OVERBOUGHT,
2014-05-04,2014-05-04,4370.0,HOLD,,BEARISH,,OVERBOUGHT,
2014-05-11,2014-05-11,4370.0,HOLD,,BEARISH,,OVERBOUGHT,
2014-05-18,2014-05-18,4410.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-05-25,2014-05-25,4400.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-06-01,2014-06-01,4450.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-06-08,2014-06-08,4385.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-06-15,2014-06-15,4450.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,OVERSOLD
2014-06-22,2014-06-22,4360.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-06-29,2014-06-29,4350.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-07-06,2014-07-06,4360.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2014-07-13,2014-07-13,4350.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-07-20,2014-07-20,4350.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-07-27,2014-07-27,4398.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-08-03,2014-08-03,4353.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-08-10,2014-08-10,4387.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-08-17,2014-08-17,4380.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,OVERSOLD
2014-08-24,2014-08-24,4400.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-08-31,2014-08-31,4401.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-09-07,2014-09-07,4410.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2014-09-14,2014-09-14,4410.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2014-09-21,2014-09-21,4405.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2014-09-28,2014-09-28,4420.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,OVERSOLD
2014-10-05,2014-10-05,4508.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-10-12,2014-10-12,4610.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-10-19,2014-10-19,4700.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-10-26,2014-10-26,4900.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-11-02,2014-11-02,4900.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-11-09,2014-11-09,4850.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-11-16,2014-11-16,4949.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-11-23,2014-11-23,5000.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-11-30,2014-11-30,5138.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-12-07,2014-12-07,5051.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-12-14,2014-12-14,5050.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-12-21,2014-12-21,5005.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-12-28,2014-12-28,5050.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2015-01-04,2015-01-04,5100.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2015-01-11,2015-01-11,5040.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,
2015-01-18,2015-01-18,5050.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,
2015-01-25,2015-01-25,5099.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,
2015-02-01,2015-02-01,5150.0,HOLD,BEARISH,BULLISH,,,
2015-02-08,2015-02-08,5148.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2015-02-15,2015-02-15,5300.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2015-02-22,2015-02-22,5500.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2015-03-01,2015-03-01,5500.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,OVERBOUGHT
2015-03-08,2015-03-08,5375.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERSOLD
2015-03-15,2015-03-15,5300.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERBOUGHT
2015-03-22,2015-03-22,5100.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2015-03-29,2015-03-29,5051.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2015-04-05,2015-04-05,5100.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2015-04-12,2015-04-12,5150.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERSOLD
2015-04-19,2015-04-19,5156.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2015-04-26,2015-04-26,4851.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2015-05-03,2015-05-03,4950.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2015-05-10,2015-05-10,4902.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2015-05-17,2015-05-17,4999.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2015-05-24,2015-05-24,4949.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2015-05-31,2015-05-31,4899.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERBOUGHT,
2015-06-07,2015-06-07,4939.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2015-06-14,2015-06-14,4939.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2015-06-21,2015-06-21,4800.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2015-06-28,2015-06-28,4800.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2015-07-05,2015-07-05,4702.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2015-07-12,2015-07-12,4779.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2015-07-19,2015-07-19,4810.0,HOLD,BULLISH,BEARISH,,,
2015-07-26,2015-07-26,4820.0,HOLD,BULLISH,BEARISH,,,
2015-08-02,2015-08-02,4851.0,HOLD,BULLISH,BEARISH,,,OVERSOLD
2015-08-09,2015-08-09,4900.0,HOLD,BULLISH,BEARISH,,,
2015-08-16,2015-08-16,4880.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2015-08-23,2015-08-23,4962.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2015-08-30,2015-08-30,4900.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2015-09-06,2015-09-06,4900.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-09-13,2015-09-13,4912.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-09-20,2015-09-20,4940.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-09-27,2015-09-27,4977.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-10-04,2015-10-04,5000.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-10-11,2015-10-11,5051.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2015-10-18,2015-10-18,5052.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2015-10-25,2015-10-25,5056.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2015-11-01,2015-11-01,5102.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2015-11-08,2015-11-08,5350.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2015-11-15,2015-11-15,5250.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,OVERBOUGHT
2015-11-22,2015-11-22,5350.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2015-11-29,2015-11-29,5402.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2015-12-06,2015-12-06,5407.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2015-12-13,2015-12-13,5450.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2015-12-20,2015-12-20,5420.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2015-12-27,2015-12-27,5426.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2016-01-03,2016-01-03,5442.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2016-01-10,2016-01-10,5429.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2016-01-17,2016-01-17,5401.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,
2016-01-24,2016-01-24,5397.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,
2016-01-31,2016-01-31,5300.0,HOLD,BEARISH,BULLISH,,,
2016-02-07,2016-02-07,5300.0,HOLD,BEARISH,BULLISH,,,
2016-02-14,2016-02-14,5300.0,HOLD,BEARISH,BULLISH,,,
2016-02-21,2016-02-21,5300.0,HOLD,BEARISH,BULLISH,,,OVERSOLD
2016-02-28,2016-02-28,5350.0,HOLD,BEARISH,BULLISH,,,
2016-03-06,2016-03-06,5330.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2016-03-13,2016-03-13,5300.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2016-03-20,2016-03-20,5305.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERBOUGHT,
2016-03-27,2016-03-27,5300.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERBOUGHT,
2016-04-03,2016-04-03,5200.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2016-04-10,2016-04-10,5300.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2016-04-17,2016-04-17,5300.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2016-04-24,2016-04-24,5000.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERBOUGHT,
2016-05-01,2016-05-01,5001.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2016-05-08,2016-05-08,5000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2016-05-15,2016-05-15,4900.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2016-05-22,2016-05-22,5000.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2016-05-29,2016-05-29,5000.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2016-06-05,2016-06-05,4944.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2016-06-12,2016-06-12,4998.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2016-06-19,2016-06-19,4960.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2016-06-26,2016-06-26,5008.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2016-07-03,2016-07-03,5049.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2016-07-10,2016-07-10,5021.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,OVERSOLD
2016-07-17,2016-07-17,5041.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2016-07-24,2016-07-24,5100.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2016-07-31,2016-07-31,5120.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2016-08-07,2016-08-07,5300.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2016-08-14,2016-08-14,5204.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2016-08-21,2016-08-21,5350.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2016-08-28,2016-08-28,5356.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2016-09-04,2016-09-04,5396.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2016-09-11,2016-09-11,5350.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2016-09-18,2016-09-18,5351.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2016-09-25,2016-09-25,5399.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2016-10-02,2016-10-02,5450.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2016-10-09,2016-10-09,5450.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2016-10-16,2016-10-16,5411.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2016-10-23,2016-10-23,5450.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2016-10-30,2016-10-30,5450.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2016-11-06,2016-11-06,5488.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2016-11-13,2016-11-13,5450.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2016-11-20,2016-11-20,5499.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2016-11-27,2016-11-27,5290.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERSOLD
