date,Last Price,Max Price,Min Price,Avg Price,Quantity,SMA_20,EMA_10,WMA_30,MACD,HMA_50,RSI,STOCH_K,STOCH_D,CCI,MOMENTUM,WILLIAMS_R
2014-01-02,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,,,,,
2014-01-03,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,,,,,
2014-01-08,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,,,,,
2014-01-09,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,,,,,
2014-01-10,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,,,,,
2014-01-13,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,,,,,
2014-01-14,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,,,,,
2014-01-15,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,,,,,
2014-01-16,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,,,,,
2014-01-17,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,,,,,
2014-01-20,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,,,,,
2014-01-21,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,,,,,
2014-01-22,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,,,,,
2014-01-23,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,inf,,,,inf
2014-01-24,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,inf,,,0.0,inf
2014-01-27,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,inf,,,0.0,inf
2014-01-28,300.0,300.0,300.0,300.0,529.0,,300.0,,0.0,,,100.0,,,0.0,-0.0
2014-01-29,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,100.0,,,0.0,-0.0
2014-01-30,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,100.0,100.0,,0.0,-0.0
2014-01-31,300.0,0.0,0.0,300.0,0.0,300.0,300.0,,0.0,,,100.0,100.0,-35.08771929824562,0.0,-0.0
2014-02-03,300.0,0.0,0.0,300.0,0.0,300.0,300.0,,0.0,,,100.0,100.0,-35.08771929824562,0.0,-0.0
2014-02-04,300.0,0.0,0.0,300.0,0.0,300.0,300.0,,0.0,,,100.0,100.0,-35.08771929824562,0.0,-0.0
2014-02-05,300.0,0.0,0.0,300.0,0.0,300.0,300.0,,0.0,,,100.0,100.0,-35.08771929824562,0.0,-0.0
2014-02-06,300.0,0.0,0.0,300.0,0.0,300.0,300.0,,0.0,,,100.0,100.0,-35.08771929824562,0.0,-0.0
2014-02-07,300.0,0.0,0.0,300.0,0.0,300.0,300.0,,0.0,,,100.0,100.0,-35.08771929824562,0.0,-0.0
2014-02-10,300.0,0.0,0.0,300.0,0.0,300.0,300.0,,0.0,,,100.0,100.0,-35.08771929824562,0.0,-0.0
2014-02-11,300.0,0.0,0.0,300.0,0.0,300.0,300.0,,0.0,,,100.0,100.0,-35.08771929824562,0.0,-0.0
2014-02-12,301.0,301.0,301.0,301.0,237.0,300.05,300.1818181818182,,0.0797720797720558,,100.0,100.0,100.0,334.25695021705,1.0,-0.0
2014-02-13,301.0,0.0,0.0,301.0,0.0,300.1,300.3305785123967,,0.14136248894078562,,100.0,100.0,100.0,-36.45544676396331,1.0,-0.0
2014-02-14,301.0,0.0,0.0,301.0,0.0,300.15,300.45229151014274,300.18709677419355,0.188006114483926,,100.0,100.0,100.0,-36.48960739030023,1.0,-0.0
2014-02-17,301.0,0.0,0.0,301.0,0.0,300.2,300.55187487193496,300.2451612903226,0.2224077457273097,,100.0,100.0,100.0,-36.523774328652365,1.0,-0.0
2014-02-18,312.0,312.0,312.0,312.0,318.0,300.8,302.6333521679468,301.01075268817203,1.1243189070065682,,100.0,100.0,100.0,232.03429960964996,12.0,-0.0
2014-02-19,312.0,0.0,0.0,312.0,0.0,301.4,304.3363790465019,301.7505376344086,1.8181317096384646,,100.0,100.0,100.0,-34.46729450957781,12.0,-0.0
2014-02-20,312.0,0.0,0.0,312.0,0.0,302.0,305.72976467441066,302.46451612903223,2.340997789083474,,100.0,100.0,100.0,-34.763645693028025,12.0,-0.0
2014-02-21,351.0,351.0,351.0,351.0,50.0,304.55,313.96071655179054,305.6688172043011,5.8350837739582175,,100.0,100.0,100.0,200.512522966831,51.0,-0.0
2014-02-24,350.0,350.0,350.0,350.0,215.0,307.05,320.513313542374,308.6989247311828,8.426346767532948,,98.07692307692308,99.71509971509973,99.90503323836657,155.0955095509551,50.0,-0.2849002849002849
2014-02-25,350.0,0.0,0.0,350.0,0.0,309.55,325.87452926194237,311.6215053763441,10.360511827826201,,98.07692307692308,99.71509971509973,99.81006647673314,-27.836439873901988,50.0,-0.2849002849002849
2014-02-26,350.0,0.0,0.0,350.0,0.0,312.05,330.2609784870437,314.43655913978495,11.75781480295251,,98.07692307692308,99.71509971509973,99.71509971509973,-28.733511668665244,50.0,-0.2849002849002849
2014-02-27,350.0,0.0,0.0,350.0,0.0,314.55,333.84989148939934,317.14408602150536,12.718575654656036,,98.07692307692308,99.71509971509973,99.71509971509973,-29.638896611373678,50.0,-0.2849002849002849
2014-02-28,350.0,0.0,0.0,350.0,0.0,317.05,336.78627485496304,319.7440860215054,13.32636748257579,,98.07692307692308,99.71509971509973,99.71509971509973,-30.55271079663594,50.0,-0.2849002849002849
2014-03-03,350.0,0.0,0.0,350.0,0.0,319.55,339.1887703358788,322.23655913978496,13.650690225446567,,98.07692307692308,99.71509971509973,99.71509971509973,-31.475072490880194,50.0,-0.2849002849002849
2014-03-04,350.0,350.0,350.0,350.0,20.0,322.05,341.1544484566281,324.6215053763441,13.74922581914359,,98.03921568627452,99.71509971509973,99.71509971509973,146.824852109684,49.0,-0.2849002849002849
2014-03-05,350.0,350.0,350.0,350.0,65.0,324.55,342.76273055542293,326.8989247311828,13.669739736494307,,98.03921568627452,99.71509971509973,99.71509971509973,121.04308861402717,49.0,-0.2849002849002849
2014-03-06,350.0,0.0,0.0,350.0,0.0,327.05,344.0785977271642,329.06881720430107,13.4516838057977,,98.03921568627452,99.71509971509973,99.71509971509973,-41.43303265652028,49.0,-0.2849002849002849
2014-03-07,350.0,0.0,0.0,350.0,0.0,329.55,345.1552163222252,331.1311827956989,13.127546722707223,,98.03921568627452,99.71509971509973,99.71509971509973,-42.23412573375812,49.0,-0.2849002849002849
2014-03-10,350.0,350.0,350.0,350.0,20.0,332.05,346.0360860818206,333.0860215053763,12.723991495525695,,97.5,99.71509971509973,99.71509971509973,103.13164249267821,38.0,-0.2849002849002849
2014-03-11,350.0,0.0,0.0,350.0,0.0,334.55,346.7567977033077,334.93333333333334,12.262812995648176,,97.5,99.71509971509973,99.71509971509973,-47.587510297704604,38.0,-0.2849002849002849
2014-03-12,350.0,350.0,350.0,350.0,51.0,337.0,347.34647084816083,336.6731182795699,11.76174365248886,,97.5,99.71509971509973,99.71509971509973,98.55108798980436,38.0,-0.2849002849002849
2014-03-13,338.0,338.0,338.0,338.0,100.0,338.85,345.64711251213157,337.5311827956989,10.277866034315707,,0.0,96.57142857142857,98.66720933387602,79.81684323936075,-13.0,-3.428571428571429
2014-03-14,338.0,0.0,0.0,338.0,0.0,340.7,344.2567284190167,338.30752688172043,8.998157176381596,,0.0,96.57142857142857,97.61931895265229,-55.672458365899146,-12.0,-3.428571428571429
2014-03-17,338.0,0.0,0.0,338.0,0.0,342.55,343.11914143374094,339.0021505376344,7.892993174565618,,0.0,96.57142857142857,96.57142857142857,-56.293657024377495,-12.0,-3.428571428571429
2014-03-18,338.0,0.0,0.0,338.0,0.0,343.85,342.188388445788,339.61505376344087,6.937175302207606,,0.0,96.57142857142857,96.57142857142857,-51.98657403793618,-12.0,-3.428571428571429
2014-03-19,338.0,0.0,0.0,338.0,0.0,345.15,341.42686327382654,340.14623655913977,6.109259017001705,,0.0,96.57142857142857,96.57142857142857,-52.40607664166914,-12.0,-3.428571428571429
2014-03-20,338.0,0.0,0.0,338.0,0.0,346.45,340.80379722403984,340.5956989247312,5.39098547141873,,0.0,96.57142857142857,96.57142857142857,-52.82797674187355,-12.0,-3.428571428571429
2014-03-21,338.0,0.0,0.0,338.0,0.0,345.8,340.294015910578,340.96344086021503,4.766799810675195,,0.0,96.57142857142857,96.57142857142857,-49.175861599237166,-12.0,-3.428571428571429
2014-03-24,338.0,0.0,0.0,338.0,0.0,345.2,339.8769221086547,341.2494623655914,4.2234429561248135,356.05350140056026,0.0,96.57142857142857,96.57142857142857,-46.07356497390863,-12.0,-3.428571428571429
2014-03-25,328.0,328.0,328.0,328.0,5.0,344.1,337.7174817252629,340.80860215053764,2.9518848170197884,354.9329928894635,0.0,93.71428571428572,95.61904761904763,99.82260925657152,-22.0,-6.2857142857142865
2014-03-26,312.0,312.0,312.0,312.0,65.0,342.2,333.04157595703333,339.2752688172043,0.6456568183817808,352.9401249730662,0.0,89.14285714285714,93.14285714285715,77.20667967902843,-38.0,-10.857142857142858
2014-03-27,312.0,0.0,0.0,312.0,0.0,340.3,329.2158348739364,337.71827956989245,-1.168574882185112,350.2292695539754,0.0,89.14285714285714,90.66666666666667,-57.461212062319824,-38.0,-10.857142857142858
2014-03-28,312.0,0.0,0.0,312.0,0.0,338.4,326.08568307867523,336.13763440860214,-2.5766643925188646,346.9471751777634,0.0,89.14285714285714,89.14285714285714,-56.806209550839625,-38.0,-10.857142857142858
2014-03-31,312.0,0.0,0.0,312.0,0.0,336.5,323.52464979164336,334.53333333333336,-3.650504728050805,343.29296703296706,0.0,89.14285714285714,89.14285714285714,-56.15680229508548,-38.0,-10.857142857142858
2014-04-01,312.0,0.0,0.0,312.0,0.0,334.6,321.4292589204355,332.905376344086,-4.450231432777571,339.44825684119803,0.0,92.3076923076923,90.1978021978022,-52.548141931272426,-38.0,-7.6923076923076925
2014-04-02,312.0,0.0,0.0,312.0,0.0,332.7,319.714848207629,331.2774193548387,-5.026083051207024,335.57890109890104,0.0,95.1219512195122,92.19083355668721,-49.64118770162617,-26.0,-4.878048780487805
2014-04-03,312.0,0.0,0.0,312.0,0.0,330.8,318.31214853351463,329.6494623655914,-5.419971549392983,331.835001077354,0.0,95.1219512195122,94.18386491557224,-48.95710350255804,-26.0,-4.878048780487805
2014-04-04,312.0,0.0,0.0,312.0,0.0,328.9,317.1644851637847,328.02150537634407,-5.666807591568386,328.3099633699633,0.0,95.1219512195122,95.1219512195122,-48.27811540220872,-26.0,-4.878048780487805
2014-04-07,303.0,303.0,303.0,303.0,40.0,326.55,314.5891242249147,325.89677419354837,-6.513567367158032,324.7623529411764,0.0,92.3780487804878,94.20731707317073,114.35388758223408,-35.0,-7.621951219512195
2014-04-08,303.0,303.0,303.0,303.0,100.0,324.2,312.48201072947563,323.8731182795699,-7.102754457809112,321.2492286145227,0.0,92.3780487804878,93.29268292682927,96.77100331305938,-35.0,-7.621951219512195
2014-04-09,303.0,0.0,0.0,303.0,0.0,321.85,310.75800877866186,321.9505376344086,-7.4834252045264975,317.81757164404223,0.0,92.3780487804878,92.3780487804878,-50.26764507781203,-35.0,-7.621951219512195
2014-04-10,303.0,0.0,0.0,303.0,0.0,320.1,309.34746172799606,320.1290322580645,-7.696390317145244,314.5128571428571,0.0,92.3780487804878,92.3780487804878,-48.2169593031169,-35.0,-7.621951219512195
2014-04-11,303.0,303.0,303.0,303.0,27.0,318.35,308.1933777774513,318.40860215053766,-7.775535173844844,311.3788343029519,0.0,92.3780487804878,92.3780487804878,127.3703825495999,-35.0,-7.621951219512195
2014-04-14,303.0,0.0,0.0,303.0,0.0,316.6,307.2491272724601,316.789247311828,-7.748933165004416,308.45752639517343,0.0,97.11538461538461,93.95716072545342,-49.06457013904053,-25.0,-2.8846153846153846
2014-04-15,300.0,300.0,300.0,300.0,100.0,314.7,305.9311041320128,315.0774193548387,-7.879100443947095,305.703257918552,0.0,99.00990099009901,96.16777812865713,104.704374885594,-12.0,-0.9900990099009901
2014-04-16,300.0,0.0,0.0,300.0,0.0,312.8,304.8527215625559,313.4731182795699,-7.891293036350135,303.17090928679164,0.0,99.00990099009901,98.37839553186087,-51.46829115901282,-12.0,-0.9900990099009901
2014-04-17,300.0,0.0,0.0,300.0,0.0,310.9,303.9704085511821,311.9763440860215,-7.810916371864209,300.8762141779789,0.0,99.00990099009901,99.00990099009901,-50.74773864137054,-12.0,-0.9900990099009901
2014-04-22,300.0,0.0,0.0,300.0,0.0,309.0,303.2485160873308,310.5870967741935,-7.658929909695814,298.81586942469295,0.0,99.00990099009901,99.00990099009901,-50.03354492439488,-12.0,-0.9900990099009901
2014-04-23,291.0,291.0,291.0,291.0,100.0,306.65,301.02151316236154,308.7247311827957,-8.170519662587253,296.73071536306827,0.0,96.03960396039604,98.01980198019801,84.63492406636762,-21.0,-3.9603960396039604
2014-04-24,292.0,292.0,292.0,292.0,200.0,304.85,299.3812380419322,307.0537634408602,-8.398454430093864,294.6991575091575,4.545454545454547,96.36963696369637,97.13971397139714,88.90121060900101,-20.0,-3.6303630363036308
2014-04-25,292.0,0.0,0.0,292.0,0.0,303.85,298.03919476158086,305.5075268817204,-8.481326918253217,292.7658435681965,4.545454545454547,96.36963696369637,96.25962596259626,-51.40520106012298,-20.0,-3.6303630363036308
2014-04-28,292.0,0.0,0.0,292.0,0.0,302.85,296.9411593503843,304.0860215053763,-8.449602207628686,290.975753070459,4.545454545454547,96.36963696369637,96.36963696369637,-51.01260216612313,-20.0,-3.6303630363036308
2014-04-29,291.0,291.0,291.0,291.0,200.0,301.8,295.8609485594053,302.6989247311828,-8.408226981838823,289.3334820081879,7.142857142857139,96.03960396039604,96.25962596259626,90.33093131215071,-12.0,-3.9603960396039604
2014-04-30,291.0,291.0,291.0,291.0,23.0,300.75,294.9771397304225,301.4129032258065,-8.279990243891348,287.87885154061627,7.142857142857139,96.03960396039604,96.14961496149614,79.25068635804223,-12.0,-3.9603960396039604
2014-05-02,291.0,0.0,0.0,291.0,0.0,299.7,294.2540234158002,300.22795698924733,-8.085161001979259,286.6526222796811,7.142857142857139,96.03960396039604,96.03960396039604,-58.07258483175234,-12.0,-3.9603960396039604
2014-05-05,291.0,0.0,0.0,291.0,0.0,298.65,293.6623827947456,299.14408602150536,-7.840378422111087,285.6763154492566,7.142857142857139,96.03960396039604,96.03960396039604,-57.65339732731038,-12.0,-3.9603960396039604
2014-05-06,300.0,300.0,300.0,300.0,27.0,298.05,294.81467683206455,298.741935483871,-6.841299438771557,285.1687179487179,43.47826086956522,100.0,97.35973597359735,76.04402848099465,-3.0,-0.0
2014-05-07,300.0,0.0,0.0,300.0,0.0,297.45,295.75746286259823,298.4215053763441,-5.980581723177636,285.05191553544495,43.47826086956522,100.0,98.67986798679868,-60.090413554092166,-3.0,-0.0
2014-05-08,300.0,0.0,0.0,300.0,0.0,297.3,296.5288332512167,298.18279569892474,-5.23807545912905,285.2479314802844,50.0,100.0,100.0,-55.06613104047738,0.0,-0.0
2014-05-09,300.0,300.0,300.0,300.0,273.0,297.15,297.1599544782682,298.0258064516129,-4.596646614542578,285.6876341305753,50.0,100.0,100.0,86.15779315539235,0.0,-0.0
2014-05-12,300.0,0.0,0.0,300.0,0.0,297.0,297.67632639131034,297.9290322580645,-4.041719210783413,286.3064188752424,50.0,100.0,100.0,-55.006587615283266,0.0,-0.0
2014-05-13,300.0,0.0,0.0,300.0,0.0,296.85,298.0988125019812,297.85806451612905,-3.5608875501654893,287.04849385908204,50.0,100.0,100.0,-54.94802690372046,0.0,-0.0
2014-05-14,300.0,0.0,0.0,300.0,0.0,296.7,298.4444829561664,297.81290322580645,-3.1435876730412815,287.8668799827623,90.9090909090909,100.0,100.0,-50.68722093342314,9.0,-0.0
2014-05-15,300.0,0.0,0.0,300.0,0.0,296.55,298.7273042368634,297.7935483870968,-2.7808189639206944,288.72090497737554,90.0,100.0,100.0,-50.629912915552396,8.0,-0.0
