date,date,price,signal,MA_trend,MACD_signal,RSI_signal,STOCH_signal,CCI_signal
2014-01-02,2014-01-02,300.0,HOLD,,,,,
2014-01-03,2014-01-03,300.0,HOLD,,,,,
2014-01-08,2014-01-08,300.0,HOLD,,,,,
2014-01-09,2014-01-09,300.0,HOLD,,,,,
2014-01-10,2014-01-10,300.0,HOLD,,,,,
2014-01-13,2014-01-13,300.0,HOLD,,,,,
2014-01-14,2014-01-14,300.0,HOLD,,,,,
2014-01-15,2014-01-15,300.0,HOLD,,,,,
2014-01-16,2014-01-16,300.0,HOLD,,,,,
2014-01-17,2014-01-17,300.0,HOLD,,,,,
2014-01-20,2014-01-20,300.0,HOLD,,,,,
2014-01-21,2014-01-21,300.0,HOLD,,,,,
2014-01-22,2014-01-22,300.0,HOLD,,,,,
2014-01-23,2014-01-23,300.0,HOLD,,,,,
2014-01-24,2014-01-24,300.0,HOLD,,,,,
2014-01-27,2014-01-27,300.0,HOLD,,,,,
2014-01-28,2014-01-28,300.0,HOLD,,,,,
2014-01-29,2014-01-29,300.0,HOLD,,,,,
2014-01-30,2014-01-30,300.0,HOLD,,,,OVERBOUGHT,
2014-01-31,2014-01-31,300.0,HOLD,,,,OVERBOUGHT,
2014-02-03,2014-02-03,300.0,HOLD,,,,OVERBOUGHT,
2014-02-04,2014-02-04,300.0,HOLD,,,,OVERBOUGHT,
2014-02-05,2014-02-05,300.0,HOLD,,,,OVERBOUGHT,
2014-02-06,2014-02-06,300.0,HOLD,,,,OVERBOUGHT,
2014-02-07,2014-02-07,300.0,HOLD,,,,OVERBOUGHT,
2014-02-10,2014-02-10,300.0,HOLD,,,,OVERBOUGHT,
2014-02-11,2014-02-11,300.0,HOLD,,,,OVERBOUGHT,
2014-02-12,2014-02-12,301.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-02-13,2014-02-13,301.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-02-14,2014-02-14,301.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-02-17,2014-02-17,301.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-02-18,2014-02-18,312.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-02-19,2014-02-19,312.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-02-20,2014-02-20,312.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-02-21,2014-02-21,351.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-02-24,2014-02-24,350.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-02-25,2014-02-25,350.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-02-26,2014-02-26,350.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-02-27,2014-02-27,350.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-02-28,2014-02-28,350.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-03-03,2014-03-03,350.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-03-04,2014-03-04,350.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-03-05,2014-03-05,350.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-03-06,2014-03-06,350.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-03-07,2014-03-07,350.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-03-10,2014-03-10,350.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-03-11,2014-03-11,350.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-03-12,2014-03-12,350.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-03-13,2014-03-13,338.0,HOLD,BEARISH,BULLISH,OVERSOLD,OVERBOUGHT,
2014-03-14,2014-03-14,338.0,HOLD,BEARISH,BULLISH,OVERSOLD,OVERBOUGHT,
2014-03-17,2014-03-17,338.0,HOLD,BEARISH,BULLISH,OVERSOLD,OVERBOUGHT,
2014-03-18,2014-03-18,338.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERBOUGHT,
2014-03-19,2014-03-19,338.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERBOUGHT,
2014-03-20,2014-03-20,338.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERBOUGHT,
2014-03-21,2014-03-21,338.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERBOUGHT,
2014-03-24,2014-03-24,338.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERBOUGHT,
2014-03-25,2014-03-25,328.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERBOUGHT,
2014-03-26,2014-03-26,312.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERBOUGHT,
2014-03-27,2014-03-27,312.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-03-28,2014-03-28,312.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-03-31,2014-03-31,312.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-01,2014-04-01,312.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-02,2014-04-02,312.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-03,2014-04-03,312.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-04,2014-04-04,312.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-07,2014-04-07,303.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERBOUGHT
2014-04-08,2014-04-08,303.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-09,2014-04-09,303.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-10,2014-04-10,303.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-11,2014-04-11,303.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERBOUGHT
2014-04-14,2014-04-14,303.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-15,2014-04-15,300.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERBOUGHT
2014-04-16,2014-04-16,300.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-17,2014-04-17,300.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-22,2014-04-22,300.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-23,2014-04-23,291.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-24,2014-04-24,292.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-25,2014-04-25,292.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-28,2014-04-28,292.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-29,2014-04-29,291.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-30,2014-04-30,291.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-02,2014-05-02,291.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-05,2014-05-05,291.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-06,2014-05-06,300.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-05-07,2014-05-07,300.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-05-08,2014-05-08,300.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-05-09,2014-05-09,300.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2014-05-12,2014-05-12,300.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2014-05-13,2014-05-13,300.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2014-05-14,2014-05-14,300.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-05-15,2014-05-15,300.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-05-16,2014-05-16,300.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-05-19,2014-05-19,300.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-05-20,2014-05-20,300.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-05-21,2014-05-21,241.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-22,2014-05-22,241.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-23,2014-05-23,258.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-05-26,2014-05-26,258.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-27,2014-05-27,257.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
