date,date,price,signal,MA_trend,MACD_signal,RSI_signal,STOCH_signal,CCI_signal
2014-01-31,2014-01-31,300.0,HOLD,,,,,
2014-02-28,2014-02-28,350.0,HOLD,,BULLISH,,,
2014-03-31,2014-03-31,312.0,HOLD,,BULLISH,,,
2014-04-30,2014-04-30,291.0,HOLD,,BULLISH,,,
2014-05-31,2014-05-31,257.0,HOLD,,BEARISH,,,
2014-06-30,2014-06-30,250.0,HOLD,,BEARISH,,,
2014-07-31,2014-07-31,300.0,HOLD,,BEARISH,,,
2014-08-31,2014-08-31,300.0,HOLD,,BEARISH,,,
2014-09-30,2014-09-30,300.0,HOLD,,BEARISH,,,
2014-10-31,2014-10-31,550.0,HOLD,,BULLISH,,,
2014-11-30,2014-11-30,353.0,HOLD,,BULLISH,,,
2014-12-31,2014-12-31,353.0,HOLD,,BULLISH,,,
2015-01-31,2015-01-31,485.0,HOLD,,BULLISH,,,
2015-02-28,2015-02-28,425.0,HOLD,,BULLISH,,,
2015-03-31,2015-03-31,750.0,HOLD,,BULLISH,,,
2015-04-30,2015-04-30,518.0,HOLD,,BULLISH,,,
2015-05-31,2015-05-31,526.0,HOLD,,BULLISH,,,
2015-06-30,2015-06-30,515.0,HOLD,,BULLISH,,,
2015-07-31,2015-07-31,515.0,HOLD,,BULLISH,,,
2015-08-31,2015-08-31,515.0,HOLD,BEARISH,BULLISH,,,
2015-09-30,2015-09-30,515.0,HOLD,BEARISH,BULLISH,,,
2015-10-31,2015-10-31,400.0,HOLD,BEARISH,BULLISH,,,
2015-11-30,2015-11-30,400.0,HOLD,BEARISH,BULLISH,,,
2015-12-31,2015-12-31,380.0,HOLD,BEARISH,BULLISH,,,
2016-01-31,2016-01-31,391.0,HOLD,BEARISH,BULLISH,,,
2016-02-29,2016-02-29,350.0,HOLD,BULLISH,BULLISH,,,
2016-03-31,2016-03-31,354.0,HOLD,BULLISH,BULLISH,,,
2016-04-30,2016-04-30,351.0,HOLD,BULLISH,BULLISH,,,
2016-05-31,2016-05-31,396.0,BUY,BULLISH,BULLISH,OVERSOLD,,
2016-06-30,2016-06-30,397.0,BUY,BULLISH,BULLISH,OVERSOLD,,
2016-07-31,2016-07-31,408.0,BUY,BULLISH,BULLISH,OVERSOLD,,
2016-08-31,2016-08-31,408.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2016-09-30,2016-09-30,408.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERBOUGHT,
2016-10-31,2016-10-31,601.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,OVERBOUGHT
2016-11-30,2016-11-30,700.0,HOLD,BEARISH,BULLISH,,,OVERBOUGHT
2016-12-31,2016-12-31,700.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,OVERBOUGHT
2017-01-31,2017-01-31,800.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,OVERBOUGHT
2017-02-28,2017-02-28,900.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-03-31,2017-03-31,865.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-04-30,2017-04-30,845.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-05-31,2017-05-31,855.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-06-30,2017-06-30,905.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-07-31,2017-07-31,1100.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-08-31,2017-08-31,1170.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-09-30,2017-09-30,1050.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-10-31,2017-10-31,940.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2017-11-30,2017-11-30,912.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,
2017-12-31,2017-12-31,1144.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2018-01-31,2018-01-31,1144.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2018-02-28,2018-02-28,1099.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2018-03-31,2018-03-31,970.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2018-04-30,2018-04-30,970.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERSOLD
2018-05-31,2018-05-31,927.0,HOLD,BEARISH,BULLISH,,,
2018-06-30,2018-06-30,880.0,HOLD,BEARISH,BULLISH,,,
2018-07-31,2018-07-31,999.0,HOLD,BEARISH,BULLISH,,,
2018-08-31,2018-08-31,1000.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2018-09-30,2018-09-30,1000.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2018-10-31,2018-10-31,1000.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2018-11-30,2018-11-30,1000.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2018-12-31,2018-12-31,893.0,HOLD,BULLISH,BULLISH,,,
2019-01-31,2019-01-31,919.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2019-02-28,2019-02-28,900.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERBOUGHT,
2019-03-31,2019-03-31,900.0,BUY,BULLISH,BULLISH,OVERSOLD,OVERBOUGHT,
2019-04-30,2019-04-30,800.0,BUY,BULLISH,BULLISH,OVERSOLD,,
2019-05-31,2019-05-31,781.0,HOLD,BULLISH,BULLISH,,,
2019-06-30,2019-06-30,800.0,HOLD,BULLISH,BULLISH,,,
2019-07-31,2019-07-31,730.0,HOLD,BULLISH,BEARISH,,,
2019-08-31,2019-08-31,730.0,HOLD,BULLISH,BEARISH,,,OVERSOLD
2019-09-30,2019-09-30,751.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2019-10-31,2019-10-31,650.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2019-11-30,2019-11-30,601.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERSOLD
2019-12-31,2019-12-31,584.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERSOLD
2020-01-31,2020-01-31,567.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERSOLD
2020-02-29,2020-02-29,550.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERSOLD
2020-03-31,2020-03-31,600.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2020-04-30,2020-04-30,600.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERSOLD
2020-05-31,2020-05-31,600.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERSOLD
2020-06-30,2020-06-30,600.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERSOLD
2020-07-31,2020-07-31,600.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERSOLD
2020-08-31,2020-08-31,600.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERSOLD
2020-09-30,2020-09-30,600.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2020-10-31,2020-10-31,431.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2020-11-30,2020-11-30,400.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2020-12-31,2020-12-31,400.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2021-01-31,2021-01-31,400.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2021-02-28,2021-02-28,400.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERSOLD
2021-03-31,2021-03-31,400.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERSOLD
2021-04-30,2021-04-30,400.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2021-05-31,2021-05-31,400.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2021-06-30,2021-06-30,400.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2021-07-31,2021-07-31,400.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2021-08-31,2021-08-31,400.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2021-09-30,2021-09-30,400.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2021-10-31,2021-10-31,400.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2021-11-30,2021-11-30,400.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2021-12-31,2021-12-31,400.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2022-01-31,2022-01-31,400.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2022-02-28,2022-02-28,400.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2022-03-31,2022-03-31,400.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2022-04-30,2022-04-30,400.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2022-05-31,2022-05-31,400.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2022-06-30,2022-06-30,400.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2022-07-31,2022-07-31,400.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2022-08-31,2022-08-31,400.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
