date,Last Price,Max Price,Min Price,Avg Price,Quantity,SMA_20,EMA_10,WMA_30,MACD,HMA_50,RSI,STOCH_K,STOCH_D,CCI,MOMENTUM,WILLIAMS_R
2014-01-05,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,,,,,
2014-01-12,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,,,,,
2014-01-19,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,,,,,
2014-01-26,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,,,,,
2014-02-02,300.0,300.0,0.0,300.0,529.0,,300.0,,0.0,,,,,,,
2014-02-09,300.0,0.0,0.0,300.0,0.0,,300.0,,0.0,,,,,,,
2014-02-16,301.0,301.0,0.0,300.6,237.0,,300.1818181818182,,0.0797720797720558,,,,,,,
2014-02-23,351.0,351.0,0.0,317.6,368.0,,309.42148760330576,,4.1299664775447695,,,,,,,
2014-03-02,350.0,350.0,0.0,350.0,215.0,,316.79939894815925,,7.176358481753709,,,,,,,
2014-03-09,350.0,350.0,0.0,350.0,85.0,,322.83587186667575,,9.481350980985724,,,,,,,
2014-03-16,338.0,350.0,0.0,345.2,171.0,,325.5929860727347,,10.221942244133459,,,,,,,
2014-03-23,338.0,0.0,0.0,338.0,0.0,,327.84880678678286,,10.685688193959948,,,,,,,
2014-03-30,312.0,328.0,0.0,320.4,70.0,,324.96720555282235,,8.853173616827348,,,,,,,
2014-04-06,312.0,0.0,0.0,312.0,0.0,,322.60953181594556,,7.3165519553493255,,56.666666666666664,88.88888888888889,,,,-11.11111111111111
2014-04-13,303.0,303.0,0.0,303.0,167.0,,319.04416239486454,,5.311317867805599,,51.515151515151516,86.32478632478633,,,3.0,-13.675213675213676
2014-04-20,300.0,300.0,0.0,300.75,100.0,,315.58158741398006,,3.440421441749322,,50.0,85.47008547008546,86.8945868945869,,0.0,-14.529914529914532
2014-04-27,292.0,292.0,0.0,293.75,300.0,,311.29402606598364,,1.2972356784089243,,46.36363636363636,83.1908831908832,84.99525166191833,,-8.0,-16.80911680911681
2014-05-04,291.0,291.0,0.0,291.25,223.0,,307.6042031448957,,-0.4764538590048346,,45.94594594594595,82.90598290598291,83.85565052231719,,-9.0,-17.094017094017094
2014-05-11,300.0,300.0,0.0,298.2,300.0,,306.2216207549146,,-1.1427182674173082,,50.0,85.47008547008546,83.85565052231719,,0.0,-14.529914529914532
2014-05-18,300.0,0.0,0.0,300.0,0.0,311.9,305.09041698129374,,-1.651697866402401,,50.0,85.47008547008546,84.61538461538461,-85.9845592602019,0.0,-14.529914529914532
2014-05-25,258.0,258.0,0.0,268.0,75.0,309.8,296.52852298469486,,-5.382075639209461,,36.64596273291926,73.50427350427351,81.48148148148148,1.15380177685471,-43.0,-26.495726495726498
2014-06-01,257.0,257.0,0.0,257.2,20.0,307.65,289.3415188056594,,-8.323174171873575,,8.035714285714278,73.42857142857143,77.46764346764347,-5.176613885505447,-94.0,-26.571428571428573
2014-06-08,250.0,250.0,0.0,253.5,40.0,305.15,282.18851538644856,,-11.091007219722997,,7.627118644067792,71.42857142857143,72.7871387871388,-19.10187667560323,-100.0,-28.57142857142857
2014-06-15,250.0,250.0,0.0,250.0,50.0,302.65,276.3360580434579,,-13.133144140747788,,7.627118644067792,71.42857142857143,72.0952380952381,-27.44659711872829,-100.0,-28.57142857142857
2014-06-22,250.0,0.0,0.0,250.0,0.0,300.15,271.54768385373825,,-14.583443504619083,,8.49056603773586,76.21951219512195,73.02555168408827,-152.4140020380622,-88.0,-23.78048780487805
2014-06-29,250.0,0.0,0.0,250.0,0.0,297.65,267.62992315305854,,-15.553524846630864,,8.49056603773586,76.21951219512195,74.62253193960511,-147.6813701728874,-88.0,-23.78048780487805
2014-07-06,250.0,0.0,0.0,250.0,0.0,295.1,264.42448257977514,,-16.13631193969843,,11.25,82.50825082508251,78.31575840510881,-126.45377488665486,-62.0,-17.491749174917494
2014-07-13,250.0,0.0,0.0,250.0,0.0,290.05,261.80184938345235,,-16.409021919284726,,11.25,82.50825082508251,80.41200461509565,-108.4840055632824,-62.0,-17.491749174917494
2014-07-20,250.0,0.0,0.0,250.0,0.0,285.05,259.656058586461,,-16.435686183413168,,12.676056338028175,83.33333333333334,82.78327832783279,-94.50402144772116,-53.0,-16.666666666666664
2014-07-27,300.0,300.0,0.0,270.0,500.0,282.55,266.99132066164987,281.46666666666664,-12.280671732990584,,50.0,100.0,88.61386138613862,65.88613406795227,0.0,-0.0
2014-08-03,300.0,0.0,0.0,300.0,0.0,280.65,272.9928987231681,281.89032258064515,-8.885367856072719,,53.63636363636364,100.0,94.44444444444446,-63.742241439430906,8.0,-0.0
2014-08-10,300.0,0.0,0.0,300.0,0.0,278.75,277.90328077350114,282.31397849462365,-6.123971737620593,,54.12844036697247,100.0,100.0,-61.95582439739713,9.0,-0.0
2014-08-17,300.0,0.0,0.0,300.0,0.0,278.15,281.92086608741,282.73763440860216,-3.8906958985185724,,50.0,100.0,100.0,-55.49295774647889,0.0,-0.0
2014-08-24,300.0,0.0,0.0,300.0,0.0,277.55,285.2079813442445,283.16129032258067,-2.096639945962636,,50.0,100.0,100.0,-54.97896213183728,0.0,-0.0
2014-08-31,300.0,0.0,0.0,300.0,0.0,277.4,287.89743928165456,283.5849462365591,-0.6671472202169753,,86.20689655172414,100.0,100.0,-49.589180542427094,42.0,-0.0
2014-09-07,300.0,300.0,0.0,300.0,994.0,277.4,290.0979048668083,284.0086021505376,0.4604285303839788,,87.71929824561403,100.0,100.0,95.8336362975351,43.0,-0.0
2014-09-14,300.0,0.0,0.0,300.0,0.0,277.8,291.89828580011584,284.43225806451613,1.338609776235046,,100.0,100.0,100.0,-44.930640554875524,50.0,-0.0
2014-09-21,300.0,0.0,0.0,300.0,0.0,278.25,293.3713247455493,284.85806451612905,2.011388703597163,,100.0,100.0,100.0,-40.70407040704069,50.0,-0.0
2014-09-28,300.0,0.0,0.0,300.0,0.0,278.25,294.5765384281767,285.39354838709676,2.515572892230182,,100.0,100.0,100.0,-36.55514250309788,50.0,-0.0
2014-10-05,292.0,292.0,0.0,295.2,21.0,277.85,294.1080768957809,285.52043010752686,2.2437448589115547,,86.20689655172414,97.33333333333334,99.11111111111113,116.95517088326675,42.0,-2.666666666666667
2014-10-12,312.0,312.0,0.0,297.6,90.0,280.55,297.36115382382076,287.06236559139785,3.6006460309963018,,89.74358974358974,100.0,99.11111111111113,128.63657807831422,62.0,-0.0
2014-10-19,312.0,0.0,0.0,312.0,0.0,283.3,300.0227622194897,288.66021505376347,4.622712236692394,,89.74358974358974,100.0,99.11111111111113,-31.467557783347278,62.0,-0.0
2014-10-26,312.0,0.0,0.0,312.0,0.0,286.4,302.20044181594614,290.31397849462365,5.370795876634418,,89.74358974358974,100.0,100.0,-28.2247191011236,62.0,-0.0
2014-11-02,550.0,550.0,0.0,454.8,320.0,301.4,347.25490694031953,307.3225806451613,24.881450627282618,,96.99248120300751,100.0,100.0,303.31733333333335,250.0,-0.0
2014-11-09,353.0,353.0,0.0,392.4,145.0,306.55,348.29946931480686,311.10967741935485,24.16892713417468,,55.723542116630675,64.18181818181819,88.06060606060606,112.5138681663415,53.0,-35.81818181818181
2014-11-16,353.0,0.0,0.0,353.0,0.0,311.7,349.15411125756924,314.789247311828,23.335252863116636,,55.723542116630675,64.18181818181819,76.12121212121212,-24.94596015656951,53.0,-35.81818181818181
