date,date,price,signal,MA_trend,MACD_signal,RSI_signal,STOCH_signal,CCI_signal
2014-01-05,2014-01-05,300.0,HOLD,,,,,
2014-01-12,2014-01-12,300.0,HOLD,,,,,
2014-01-19,2014-01-19,300.0,HOLD,,,,,
2014-01-26,2014-01-26,300.0,HOLD,,,,,
2014-02-02,2014-02-02,300.0,HOLD,,,,,
2014-02-09,2014-02-09,300.0,HOLD,,,,,
2014-02-16,2014-02-16,301.0,HOLD,,BULLISH,,,
2014-02-23,2014-02-23,351.0,HOLD,,BULLISH,,,
2014-03-02,2014-03-02,350.0,HOLD,,BULLISH,,,
2014-03-09,2014-03-09,350.0,HOLD,,BULLISH,,,
2014-03-16,2014-03-16,338.0,HOLD,,BULLISH,,,
2014-03-23,2014-03-23,338.0,HOLD,,BULLISH,,,
2014-03-30,2014-03-30,312.0,HOLD,,BULLISH,,,
2014-04-06,2014-04-06,312.0,HOLD,,BULLISH,,,
2014-04-13,2014-04-13,303.0,HOLD,,BULLISH,,,
2014-04-20,2014-04-20,300.0,HOLD,,BULLISH,,OVERBOUGHT,
2014-04-27,2014-04-27,292.0,HOLD,,BULLISH,,OVERBOUGHT,
2014-05-04,2014-05-04,291.0,HOLD,,BEARISH,,OVERBOUGHT,
2014-05-11,2014-05-11,300.0,HOLD,,BEARISH,,OVERBOUGHT,
2014-05-18,2014-05-18,300.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-05-25,2014-05-25,258.0,HOLD,BULLISH,BEARISH,,,
2014-06-01,2014-06-01,257.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2014-06-08,2014-06-08,250.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2014-06-15,2014-06-15,250.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2014-06-22,2014-06-22,250.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERSOLD
2014-06-29,2014-06-29,250.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERSOLD
