date,date,price,signal,MA_trend,MACD_signal,RSI_signal,STOCH_signal,CCI_signal
2014-01-02,2014-01-02,175651.0,HOLD,,,,,
2014-01-03,2014-01-03,158086.0,HOLD,,BEARISH,,,
2014-01-08,2014-01-08,158086.0,HOLD,,BEARISH,,,
2014-01-09,2014-01-09,142278.0,HOLD,,BEARISH,,,
2014-01-10,2014-01-10,128051.0,HOLD,,BEARISH,,,
2014-01-13,2014-01-13,115246.0,HOLD,,BEARISH,,,
2014-01-14,2014-01-14,103722.0,HOLD,,BEARISH,,,
2014-01-15,2014-01-15,93350.0,HOLD,,BEARISH,,,
2014-01-16,2014-01-16,93350.0,HOLD,,BEARISH,,,
2014-01-17,2014-01-17,93350.0,HOLD,,BEARISH,,,
2014-01-20,2014-01-20,93350.0,HOLD,,BEARISH,,,
2014-01-21,2014-01-21,84015.0,HOLD,,BEARISH,,,
2014-01-22,2014-01-22,75614.0,HOLD,,BEARISH,,,
2014-01-23,2014-01-23,68053.0,HOLD,,BEARISH,OVERSOLD,,
2014-01-24,2014-01-24,68053.0,HOLD,,BEARISH,OVERSOLD,,
2014-01-27,2014-01-27,68053.0,HOLD,,BEARISH,OVERSOLD,,
2014-01-28,2014-01-28,68053.0,HOLD,,BEARISH,OVERSOLD,,
2014-01-29,2014-01-29,68000.0,HOLD,,BEARISH,OVERSOLD,,
2014-01-30,2014-01-30,70094.0,HOLD,,BEARISH,OVERSOLD,,
2014-01-31,2014-01-31,70094.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2014-02-03,2014-02-03,70094.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2014-02-04,2014-02-04,70094.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2014-02-05,2014-02-05,70094.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-02-06,2014-02-06,70094.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-02-07,2014-02-07,70094.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-02-10,2014-02-10,70094.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-02-11,2014-02-11,70094.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-02-12,2014-02-12,75000.0,HOLD,BULLISH,BEARISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-02-13,2014-02-13,75000.0,HOLD,BULLISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-02-14,2014-02-14,75000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-02-17,2014-02-17,75000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-02-18,2014-02-18,75000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-02-19,2014-02-19,75000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-02-20,2014-02-20,75000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-02-21,2014-02-21,75000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-02-24,2014-02-24,75000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-02-25,2014-02-25,75000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-02-26,2014-02-26,75000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-02-27,2014-02-27,75000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-02-28,2014-02-28,75000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-03-03,2014-03-03,75000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-03-04,2014-03-04,82499.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-03-05,2014-03-05,82499.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-03-06,2014-03-06,82500.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2014-03-07,2014-03-07,82500.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-03-10,2014-03-10,82500.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-03-11,2014-03-11,82500.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-03-12,2014-03-12,82500.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-03-13,2014-03-13,82500.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-03-14,2014-03-14,82500.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-03-17,2014-03-17,82500.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-03-18,2014-03-18,82500.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-03-19,2014-03-19,82500.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-03-20,2014-03-20,82500.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-03-21,2014-03-21,82500.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-03-24,2014-03-24,82500.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-03-25,2014-03-25,82500.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2014-03-26,2014-03-26,82500.0,HOLD,BEARISH,BULLISH,,,
2014-03-27,2014-03-27,82500.0,HOLD,BEARISH,BULLISH,,,
2014-03-28,2014-03-28,82500.0,HOLD,BEARISH,BULLISH,,,
2014-03-31,2014-03-31,82500.0,HOLD,BULLISH,BULLISH,,,
2014-04-01,2014-04-01,82500.0,HOLD,BULLISH,BULLISH,,,
2014-04-02,2014-04-02,82500.0,HOLD,BULLISH,BULLISH,,,
2014-04-03,2014-04-03,82500.0,HOLD,BULLISH,BULLISH,,,
2014-04-04,2014-04-04,82500.0,HOLD,BULLISH,BULLISH,,,
2014-04-07,2014-04-07,82500.0,HOLD,BULLISH,BULLISH,,,
2014-04-08,2014-04-08,82500.0,HOLD,BULLISH,BULLISH,,,
2014-04-09,2014-04-09,82500.0,HOLD,BULLISH,BULLISH,,,
2014-04-10,2014-04-10,82500.0,HOLD,BULLISH,BULLISH,,,
2014-04-11,2014-04-11,77900.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERBOUGHT
2014-04-14,2014-04-14,72000.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERBOUGHT
2014-04-15,2014-04-15,72000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-16,2014-04-16,72000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-17,2014-04-17,72000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-22,2014-04-22,71500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERBOUGHT
2014-04-23,2014-04-23,71500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-24,2014-04-24,71500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-25,2014-04-25,71500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-28,2014-04-28,71500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-29,2014-04-29,71500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-04-30,2014-04-30,71500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-02,2014-05-02,71500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-05,2014-05-05,71500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-06,2014-05-06,71500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-07,2014-05-07,71500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-08,2014-05-08,65000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERBOUGHT
2014-05-09,2014-05-09,65000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-12,2014-05-12,65000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-13,2014-05-13,65000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-14,2014-05-14,65000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-15,2014-05-15,66000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERBOUGHT
2014-05-16,2014-05-16,66000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-19,2014-05-19,66000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-20,2014-05-20,66000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-21,2014-05-21,66000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-22,2014-05-22,66000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-23,2014-05-23,66000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-26,2014-05-26,66000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-27,2014-05-27,66000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-05-28,2014-05-28,66000.0,HOLD,BULLISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-05-29,2014-05-29,66000.0,HOLD,BULLISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-05-30,2014-05-30,66000.0,HOLD,BULLISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-06-02,2014-06-02,66000.0,HOLD,BULLISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-06-03,2014-06-03,66000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-06-04,2014-06-04,66000.0,HOLD,BEARISH,BEARISH,,,
2014-06-05,2014-06-05,66000.0,HOLD,BEARISH,BEARISH,,,
2014-06-09,2014-06-09,66000.0,HOLD,BEARISH,BEARISH,,,
2014-06-10,2014-06-10,66000.0,HOLD,BEARISH,BEARISH,,,
2014-06-11,2014-06-11,66000.0,HOLD,BEARISH,BEARISH,,,
2014-06-12,2014-06-12,66000.0,HOLD,BEARISH,BEARISH,,,
2014-06-13,2014-06-13,66000.0,HOLD,BEARISH,BEARISH,,,
2014-06-16,2014-06-16,66000.0,HOLD,BEARISH,BEARISH,,,
2014-06-17,2014-06-17,66000.0,HOLD,BEARISH,BEARISH,,,
2014-06-18,2014-06-18,60000.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERBOUGHT
2014-06-19,2014-06-19,60000.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2014-06-20,2014-06-20,60000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-06-23,2014-06-23,60000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-06-24,2014-06-24,60000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-06-25,2014-06-25,60000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-06-26,2014-06-26,60000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-06-27,2014-06-27,60000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERBOUGHT
2014-06-30,2014-06-30,60000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-07-01,2014-07-01,60000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-07-02,2014-07-02,60000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERBOUGHT
2014-07-03,2014-07-03,60000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-07-04,2014-07-04,60000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-07-07,2014-07-07,60000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-07-08,2014-07-08,60000.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-07-09,2014-07-09,60000.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-07-10,2014-07-10,60000.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-07-11,2014-07-11,60000.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-07-14,2014-07-14,60000.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2014-07-15,2014-07-15,60000.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2014-07-16,2014-07-16,54100.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERBOUGHT
2014-07-17,2014-07-17,54100.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-07-18,2014-07-18,54100.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-07-21,2014-07-21,54100.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-07-22,2014-07-22,54100.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-07-23,2014-07-23,54100.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-07-24,2014-07-24,54100.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-07-25,2014-07-25,54101.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERBOUGHT
2014-07-29,2014-07-29,54101.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
