date,date,price,signal,MA_trend,MACD_signal,RSI_signal,STOCH_signal,CCI_signal
2014-01-05,2014-01-05,158086.0,HOLD,,,,,
2014-01-12,2014-01-12,128051.0,HOLD,,BEARISH,,,
2014-01-19,2014-01-19,93350.0,HOLD,,BEARISH,,,
2014-01-26,2014-01-26,68053.0,HOLD,,BEARISH,,,
2014-02-02,2014-02-02,70094.0,HOLD,,BEARISH,,,
2014-02-09,2014-02-09,70094.0,HOLD,,BEARISH,,,
2014-02-16,2014-02-16,75000.0,HOLD,,BEARISH,,,
2014-02-23,2014-02-23,75000.0,HOLD,,BEARISH,,,
2014-03-02,2014-03-02,75000.0,HOLD,,BEARISH,,,
2014-03-09,2014-03-09,82500.0,HOLD,,BEARISH,,,
2014-03-16,2014-03-16,82500.0,HOLD,,BEARISH,,,
2014-03-23,2014-03-23,82500.0,HOLD,,BEARISH,,,
2014-03-30,2014-03-30,82500.0,HOLD,,BEARISH,,,
2014-04-06,2014-04-06,82500.0,HOLD,,BEARISH,OVERSOLD,,
2014-04-13,2014-04-13,77900.0,HOLD,,BEARISH,OVERSOLD,,
2014-04-20,2014-04-20,72000.0,HOLD,,BEARISH,OVERSOLD,,
2014-04-27,2014-04-27,71500.0,HOLD,,BEARISH,OVERSOLD,,
2014-05-04,2014-05-04,71500.0,HOLD,,BEARISH,,,
2014-05-11,2014-05-11,65000.0,HOLD,,BEARISH,,,
2014-05-18,2014-05-18,66000.0,HOLD,BULLISH,BEARISH,,,
2014-05-25,2014-05-25,66000.0,HOLD,BULLISH,BEARISH,,,OVERSOLD
2014-06-01,2014-06-01,66000.0,HOLD,BULLISH,BEARISH,,,OVERSOLD
2014-06-08,2014-06-08,66000.0,HOLD,BULLISH,BEARISH,,,
2014-06-15,2014-06-15,66000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-06-22,2014-06-22,60000.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2014-06-29,2014-06-29,60000.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2014-07-06,2014-07-06,60000.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2014-07-13,2014-07-13,60000.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2014-07-20,2014-07-20,54100.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2014-07-27,2014-07-27,54101.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2014-08-03,2014-08-03,54101.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERSOLD
2014-08-10,2014-08-10,54101.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2014-08-17,2014-08-17,54101.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-08-24,2014-08-24,54101.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-08-31,2014-08-31,54101.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-09-07,2014-09-07,54100.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-09-14,2014-09-14,54100.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-09-21,2014-09-21,54161.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-09-28,2014-09-28,54161.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-10-05,2014-10-05,54500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-10-12,2014-10-12,54500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-10-19,2014-10-19,54755.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-10-26,2014-10-26,54755.0,HOLD,BULLISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-11-02,2014-11-02,55000.0,HOLD,BULLISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-11-09,2014-11-09,55000.0,HOLD,BULLISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-11-16,2014-11-16,55000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-11-23,2014-11-23,55000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-11-30,2014-11-30,55000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-12-07,2014-12-07,57000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-12-14,2014-12-14,56000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-12-21,2014-12-21,56000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2014-12-28,2014-12-28,56000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2015-01-04,2015-01-04,56000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2015-01-11,2015-01-11,56000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2015-01-18,2015-01-18,56000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2015-01-25,2015-01-25,55500.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-02-01,2015-02-01,55400.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-02-08,2015-02-08,55400.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-02-15,2015-02-15,55400.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-02-22,2015-02-22,55400.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-03-01,2015-03-01,55400.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-03-08,2015-03-08,55400.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2015-03-15,2015-03-15,55400.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2015-03-22,2015-03-22,55400.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2015-03-29,2015-03-29,55400.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2015-04-05,2015-04-05,55400.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2015-04-12,2015-04-12,49000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERBOUGHT
2015-04-19,2015-04-19,49000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2015-04-26,2015-04-26,49000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2015-05-03,2015-05-03,49000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2015-05-10,2015-05-10,48000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2015-05-17,2015-05-17,48000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2015-05-24,2015-05-24,48000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2015-05-31,2015-05-31,48000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2015-06-07,2015-06-07,48000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2015-06-14,2015-06-14,48000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2015-06-21,2015-06-21,48000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
