date,Last Price,Max Price,Min Price,Avg Price,Quantity,SMA_20,EMA_10,WMA_30,MACD,HMA_50,RSI,STOCH_K,STOCH_D,CCI,MOMENTUM,WILLIAMS_R
2014-01-02,2000.0,0.0,0.0,2000.0,0.0,,2000.0,,0.0,,,,,,,
2014-01-03,2000.0,0.0,0.0,2000.0,0.0,,2000.0,,0.0,,,,,,,
2014-01-08,2000.0,0.0,0.0,2000.0,0.0,,2000.0,,0.0,,,,,,,
2014-01-09,2000.0,0.0,0.0,2000.0,0.0,,2000.0,,0.0,,,,,,,
2014-01-10,2000.0,0.0,0.0,2000.0,0.0,,2000.0,,0.0,,,,,,,
2014-01-13,2000.0,0.0,0.0,2000.0,0.0,,2000.0,,0.0,,,,,,,
2014-01-14,2000.0,0.0,0.0,2000.0,0.0,,2000.0,,0.0,,,,,,,
2014-01-15,2000.0,0.0,0.0,2000.0,0.0,,2000.0,,0.0,,,,,,,
2014-01-16,2000.0,0.0,0.0,2000.0,0.0,,2000.0,,0.0,,,,,,,
2014-01-17,2000.0,0.0,0.0,2000.0,0.0,,2000.0,,0.0,,,,,,,
2014-01-20,2000.0,0.0,0.0,2000.0,0.0,,2000.0,,0.0,,,,,,,
2014-01-21,2000.0,0.0,0.0,2000.0,0.0,,2000.0,,0.0,,,,,,,
2014-01-22,2000.0,0.0,0.0,2000.0,0.0,,2000.0,,0.0,,,,,,,
2014-01-23,2000.0,0.0,0.0,2000.0,0.0,,2000.0,,0.0,,,inf,,,,inf
2014-01-24,2000.0,0.0,0.0,2000.0,0.0,,2000.0,,0.0,,,inf,,,0.0,inf
2014-01-27,2000.0,0.0,0.0,2000.0,0.0,,2000.0,,0.0,,,inf,,,0.0,inf
2014-01-28,2000.0,0.0,0.0,2000.0,0.0,,2000.0,,0.0,,,inf,,,0.0,inf
2014-01-29,2000.0,0.0,0.0,2000.0,0.0,,2000.0,,0.0,,,inf,,,0.0,inf
2014-01-30,2000.0,0.0,0.0,2000.0,0.0,,2000.0,,0.0,,,inf,,,0.0,inf
2014-01-31,2000.0,0.0,0.0,2000.0,0.0,2000.0,2000.0,,0.0,,,inf,,0.0,0.0,inf
2014-02-03,2000.0,0.0,0.0,2000.0,0.0,2000.0,2000.0,,0.0,,,inf,,0.0,0.0,inf
2014-02-04,2000.0,0.0,0.0,2000.0,0.0,2000.0,2000.0,,0.0,,,inf,,0.0,0.0,inf
2014-02-05,2000.0,0.0,0.0,2000.0,0.0,2000.0,2000.0,,0.0,,,inf,,0.0,0.0,inf
2014-02-06,2000.0,0.0,0.0,2000.0,0.0,2000.0,2000.0,,0.0,,,inf,,0.0,0.0,inf
2014-02-07,2000.0,0.0,0.0,2000.0,0.0,2000.0,2000.0,,0.0,,,inf,,0.0,0.0,inf
