date,date,price,signal,MA_trend,MACD_signal,RSI_signal,STOCH_signal,CCI_signal
2014-01-31,2014-01-31,2000.0,HOLD,,,,,
2014-02-28,2014-02-28,2000.0,HOLD,,,,,
2014-03-31,2014-03-31,2000.0,HOLD,,,,,
2014-04-30,2014-04-30,2000.0,HOLD,,,,,
2014-05-31,2014-05-31,1500.0,HOLD,,BEARISH,,,
2014-06-30,2014-06-30,1500.0,HOLD,,BEARISH,,,
2014-07-31,2014-07-31,1500.0,HOLD,,BEARISH,,,
2014-08-31,2014-08-31,1500.0,HOLD,,BEARISH,,,
2014-09-30,2014-09-30,1500.0,HOLD,,BEARISH,,,
2014-10-31,2014-10-31,1500.0,HOLD,,BEARISH,,,
2014-11-30,2014-11-30,1500.0,HOLD,,BEARISH,,,
2014-12-31,2014-12-31,1500.0,HOLD,,BEARISH,,,
2015-01-31,2015-01-31,1500.0,HOLD,,BEARISH,,,
2015-02-28,2015-02-28,1500.0,HOLD,,BEARISH,OVERSOLD,,
2015-03-31,2015-03-31,1500.0,HOLD,,BEARISH,OVERSOLD,,
2015-04-30,2015-04-30,1500.0,HOLD,,BEARISH,OVERSOLD,OVERBOUGHT,
2015-05-31,2015-05-31,1500.0,HOLD,,BEARISH,OVERSOLD,OVERBOUGHT,
2015-06-30,2015-06-30,1060.0,HOLD,,BEARISH,OVERSOLD,,
2015-07-31,2015-07-31,1000.0,HOLD,,BEARISH,OVERSOLD,,
2015-08-31,2015-08-31,1009.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2015-09-30,2015-09-30,1009.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2015-10-31,2015-10-31,1000.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2015-11-30,2015-11-30,1000.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2015-12-31,2015-12-31,1233.0,HOLD,BULLISH,BEARISH,,,
2016-01-31,2016-01-31,1400.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,OVERBOUGHT
2016-02-29,2016-02-29,1400.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2016-03-31,2016-03-31,1200.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2016-04-30,2016-04-30,1200.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,OVERSOLD
2016-05-31,2016-05-31,1500.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,OVERBOUGHT
2016-06-30,2016-06-30,1500.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2016-07-31,2016-07-31,1545.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,OVERBOUGHT
2016-08-31,2016-08-31,1545.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2016-09-30,2016-09-30,1850.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2016-10-31,2016-10-31,1500.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERBOUGHT
2016-11-30,2016-11-30,1673.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERBOUGHT
2016-12-31,2016-12-31,1673.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2017-01-31,2017-01-31,1500.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2017-02-28,2017-02-28,1648.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2017-03-31,2017-03-31,1701.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2017-04-30,2017-04-30,1701.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2017-05-31,2017-05-31,1701.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2017-06-30,2017-06-30,1701.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2017-07-31,2017-07-31,1700.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2017-08-31,2017-08-31,1530.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2017-09-30,2017-09-30,1485.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2017-10-31,2017-10-31,1440.0,HOLD,BEARISH,BULLISH,,,
2017-11-30,2017-11-30,1400.0,HOLD,BULLISH,BULLISH,,,
2017-12-31,2017-12-31,1400.0,HOLD,BULLISH,BEARISH,,,
2018-01-31,2018-01-31,1400.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2018-02-28,2018-02-28,1400.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2018-03-31,2018-03-31,1400.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,OVERSOLD
2018-04-30,2018-04-30,1500.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2018-05-31,2018-05-31,1501.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2018-06-30,2018-06-30,1545.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2018-07-31,2018-07-31,1550.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2018-08-31,2018-08-31,1550.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,OVERSOLD
2018-09-30,2018-09-30,1505.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2018-10-31,2018-10-31,1550.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2018-11-30,2018-11-30,1550.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2018-12-31,2018-12-31,1550.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
