date,date,price,signal,MA_trend,MACD_signal,RSI_signal,STOCH_signal,CCI_signal
2014-01-05,2014-01-05,2000.0,HOLD,,,,,
2014-01-12,2014-01-12,2000.0,HOLD,,,,,
2014-01-19,2014-01-19,2000.0,HOLD,,,,,
2014-01-26,2014-01-26,2000.0,HOLD,,,,,
2014-02-02,2014-02-02,2000.0,HOLD,,,,,
2014-02-09,2014-02-09,2000.0,HOLD,,,,,
2014-02-16,2014-02-16,2000.0,HOLD,,,,,
2014-02-23,2014-02-23,2000.0,HOLD,,,,,
2014-03-02,2014-03-02,2000.0,HOLD,,,,,
2014-03-09,2014-03-09,2000.0,HOLD,,,,,
2014-03-16,2014-03-16,2000.0,HOLD,,,,,
2014-03-23,2014-03-23,2000.0,HOLD,,,,,
2014-03-30,2014-03-30,2000.0,HOLD,,,,,
2014-04-06,2014-04-06,2000.0,HOLD,,,,,
2014-04-13,2014-04-13,2000.0,HOLD,,,,,
2014-04-20,2014-04-20,2000.0,HOLD,,,,,
2014-04-27,2014-04-27,2000.0,HOLD,,,,,
2014-05-04,2014-05-04,2000.0,HOLD,,,,,
2014-05-11,2014-05-11,2000.0,HOLD,,,,,
2014-05-18,2014-05-18,2000.0,HOLD,,,,,
2014-05-25,2014-05-25,2000.0,HOLD,,,,,
2014-06-01,2014-06-01,1500.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERBOUGHT
2014-06-08,2014-06-08,1500.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERSOLD
2014-06-15,2014-06-15,1500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2014-06-22,2014-06-22,1500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2014-06-29,2014-06-29,1500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2014-07-06,2014-07-06,1500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2014-07-13,2014-07-13,1500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2014-07-20,2014-07-20,1500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-07-27,2014-07-27,1500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-08-03,2014-08-03,1500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-08-10,2014-08-10,1500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-08-17,2014-08-17,1500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-08-24,2014-08-24,1500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-08-31,2014-08-31,1500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2014-09-07,2014-09-07,1500.0,HOLD,BULLISH,BEARISH,,,
2014-09-14,2014-09-14,1500.0,HOLD,BULLISH,BEARISH,,,
2014-09-21,2014-09-21,1500.0,HOLD,BULLISH,BEARISH,,,
2014-09-28,2014-09-28,1500.0,HOLD,BULLISH,BEARISH,,,
2014-10-05,2014-10-05,1500.0,HOLD,BULLISH,BEARISH,,,
2014-10-12,2014-10-12,1500.0,HOLD,BEARISH,BEARISH,,,
2014-10-19,2014-10-19,1500.0,HOLD,BEARISH,BEARISH,,,
2014-10-26,2014-10-26,1500.0,HOLD,BEARISH,BEARISH,,,
2014-11-02,2014-11-02,1500.0,HOLD,BEARISH,BEARISH,,,
2014-11-09,2014-11-09,1500.0,SELL,BEARISH,BEARISH,,,OVERBOUGHT
2014-11-16,2014-11-16,1500.0,HOLD,BEARISH,BEARISH,,,
2014-11-23,2014-11-23,1500.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,OVERBOUGHT
2014-11-30,2014-11-30,1500.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2014-12-07,2014-12-07,1500.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,OVERBOUGHT
2014-12-14,2014-12-14,1500.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,OVERBOUGHT
2014-12-21,2014-12-21,1500.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,OVERBOUGHT
2014-12-28,2014-12-28,1500.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,OVERBOUGHT
2015-01-04,2015-01-04,1500.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-01-11,2015-01-11,1500.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-01-18,2015-01-18,1500.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-01-25,2015-01-25,1500.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-02-01,2015-02-01,1500.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-02-08,2015-02-08,1500.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-02-15,2015-02-15,1500.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-02-22,2015-02-22,1500.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-03-01,2015-03-01,1500.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-03-08,2015-03-08,1500.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-03-15,2015-03-15,1500.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-03-22,2015-03-22,1500.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-03-29,2015-03-29,1500.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-04-05,2015-04-05,1500.0,HOLD,BEARISH,BEARISH,,,
2015-04-12,2015-04-12,1500.0,HOLD,BEARISH,BEARISH,,,
2015-04-19,2015-04-19,1500.0,HOLD,BEARISH,BEARISH,,,
2015-04-26,2015-04-26,1500.0,HOLD,BEARISH,BEARISH,,,
2015-05-03,2015-05-03,1500.0,HOLD,BEARISH,BEARISH,,,
2015-05-10,2015-05-10,1500.0,HOLD,BEARISH,BEARISH,,,
2015-05-17,2015-05-17,1500.0,HOLD,BEARISH,BEARISH,,,
2015-05-24,2015-05-24,1500.0,HOLD,BEARISH,BEARISH,,,
2015-05-31,2015-05-31,1500.0,HOLD,BEARISH,BEARISH,,,
2015-06-07,2015-06-07,1500.0,HOLD,BEARISH,BEARISH,,,
2015-06-14,2015-06-14,1500.0,HOLD,BEARISH,BEARISH,,,
2015-06-21,2015-06-21,1500.0,HOLD,BEARISH,BEARISH,,,
2015-06-28,2015-06-28,1060.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERBOUGHT
2015-07-05,2015-07-05,1060.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERSOLD
2015-07-12,2015-07-12,1060.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2015-07-19,2015-07-19,1060.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2015-07-26,2015-07-26,1000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERBOUGHT
2015-08-02,2015-08-02,1000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2015-08-09,2015-08-09,1000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2015-08-16,2015-08-16,980.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERBOUGHT
2015-08-23,2015-08-23,980.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2015-08-30,2015-08-30,1009.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERBOUGHT
2015-09-06,2015-09-06,1009.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2015-09-13,2015-09-13,1009.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERBOUGHT
2015-09-20,2015-09-20,1009.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
