date,Last Price,Max Price,Min Price,Avg Price,Quantity,SMA_20,EMA_10,WMA_30,MACD,HMA_50,RSI,STOCH_K,STOCH_D,CCI,MOMENTUM,WILLIAMS_R
2014-01-02,99.0,0.0,0.0,99.0,0.0,,99.0,,0.0,,,,,,,
2014-01-03,99.0,0.0,0.0,99.0,0.0,,99.0,,0.0,,,,,,,
2014-01-08,101.0,101.0,101.0,101.0,200.0,,99.36363636363636,,0.15954415954416845,,,,,,,
2014-01-09,100.0,100.0,100.0,100.0,300.0,,99.4793388429752,,0.20295289810961492,,,,,,,
2014-01-10,100.0,100.0,100.0,100.0,200.0,,99.5740045078888,,0.23464974002715167,,,,,,,
2014-01-13,100.0,0.0,0.0,100.0,0.0,,99.6514582337272,,0.25680937697079287,,,,,,,
2014-01-14,100.0,0.0,0.0,100.0,0.0,,99.71482946395861,,0.27124431330018695,,,,,,,
2014-01-15,97.0,97.0,97.0,97.0,110.0,,99.22122410687523,,0.04014639374854312,,,,,,,
2014-01-16,99.0,99.0,99.0,99.0,300.0,,99.18100154198882,,0.018173420951697494,,,,,,,
2014-01-17,99.0,0.0,0.0,99.0,0.0,,99.14809217071812,,0.0007510243621311474,,,,,,,
2014-01-20,99.0,0.0,0.0,99.0,0.0,,99.12116632149663,,-0.012907560138089025,,,,,,,
2014-01-21,99.0,0.0,0.0,99.0,0.0,,99.09913608122451,,-0.023461635628152067,,,,,,,
2014-01-22,99.0,0.0,0.0,99.0,0.0,,99.08111133918369,,-0.03146312912460303,,,,,,,
2014-01-23,99.0,0.0,0.0,99.0,0.0,,99.06636382296847,,-0.03737355133264941,,50.0,98.01980198019803,,,,-1.9801980198019802
2014-01-24,99.0,0.0,0.0,99.0,0.0,,99.05429767333783,,-0.0415783145858768,,50.0,98.01980198019803,,,0.0,-1.9801980198019802
2014-01-27,99.0,0.0,0.0,99.0,0.0,,99.04442536909458,,-0.044398817823179115,,50.0,98.01980198019803,98.01980198019803,,0.0,-1.9801980198019802
2014-01-28,101.0,101.0,101.0,101.0,2200.0,,99.39998439289556,,0.11344151517121759,,50.0,100.0,98.67986798679868,,0.0,-0.0
2014-01-29,101.0,0.0,0.0,101.0,0.0,,99.69089632145999,,0.23581281292840117,,57.14285714285714,100.0,99.33993399339936,,1.0,-0.0
2014-01-30,101.0,0.0,0.0,101.0,0.0,,99.92891517210361,,0.329000435810201,,57.14285714285714,100.0,100.0,,1.0,-0.0
2014-01-31,101.0,0.0,0.0,101.0,0.0,99.6,100.12365786808476,,0.3982613889419895,,57.14285714285714,100.0,100.0,-46.48201209805796,1.0,-0.0
2014-02-03,101.0,0.0,0.0,101.0,0.0,99.7,100.28299280116025,,0.44798707713424335,,57.14285714285714,100.0,100.0,-46.59498207885305,1.0,-0.0
2014-02-04,101.0,0.0,0.0,101.0,0.0,99.8,100.41335774640383,,0.4818406838132461,,100.0,100.0,100.0,-46.70811413996494,4.0,-0.0
2014-02-05,101.0,0.0,0.0,101.0,0.0,99.8,100.5200199743304,,0.5028731029057525,,100.0,100.0,100.0,-43.48800717327953,2.0,-0.0
2014-02-06,101.0,0.0,0.0,101.0,0.0,99.85,100.60728906990667,,0.5136207463211804,,100.0,100.0,100.0,-40.61314791403287,2.0,-0.0
2014-02-07,101.0,0.0,0.0,101.0,0.0,99.9,100.67869105719636,,0.5161880367883072,,100.0,100.0,100.0,-37.966281693880305,2.0,-0.0
2014-02-10,101.0,0.0,0.0,101.0,0.0,99.95,100.73711086497883,,0.5123169619487129,,100.0,100.0,100.0,-38.04401951996813,2.0,-0.0
2014-02-11,101.0,0.0,0.0,101.0,0.0,100.0,100.78490888952813,,0.5034456986191316,,100.0,100.0,100.0,-38.1218038121804,2.0,-0.0
2014-02-12,101.0,0.0,0.0,101.0,0.0,100.2,100.82401636415936,,0.49075800571282,,100.0,100.0,100.0,-35.59510567297004,2.0,-0.0
2014-02-13,101.0,0.0,0.0,101.0,0.0,100.3,100.85601338885765,,0.47522482174676384,,100.0,100.0,100.0,-32.5372101073036,2.0,-0.0
2014-02-14,101.0,0.0,0.0,101.0,0.0,100.4,100.8821927727017,100.44086021505376,0.45763928078480376,,100.0,100.0,100.0,-32.9004329004329,2.0,-0.0
2014-02-17,101.0,0.0,0.0,101.0,0.0,100.5,100.90361226857411,100.5010752688172,0.4386461728426809,,,inf,,-33.26403326403332,0.0,inf
2014-02-18,101.0,0.0,0.0,101.0,0.0,100.6,100.92113731065153,100.55698924731183,0.41876671593256276,,,inf,,-33.6280117871382,0.0,inf
2014-02-19,101.0,0.0,0.0,101.0,0.0,100.7,100.93547598144215,100.60860215053764,0.39841937258781,,,inf,,-33.99236906000697,0.0,inf
2014-02-20,101.0,0.0,0.0,101.0,0.0,100.8,100.94720762117993,100.66021505376344,0.3779373301087361,,,inf,,-34.35710567412816,0.0,inf
2014-02-21,101.0,0.0,0.0,101.0,0.0,100.9,100.95680623551084,100.70967741935483,0.3575831677093504,,,inf,,-34.72222222222231,0.0,inf
2014-02-24,101.0,0.0,0.0,101.0,0.0,101.0,100.96465964723613,100.75698924731182,0.33756115252224106,,,inf,,-35.08771929824565,0.0,inf
2014-02-25,101.0,0.0,0.0,101.0,0.0,101.0,100.97108516592046,100.8021505376344,0.3180275377457775,,,inf,,0.0,0.0,inf
2014-02-26,101.0,0.0,0.0,101.0,0.0,101.0,100.97634240848036,100.84516129032258,0.29909917816026166,,,inf,,0.0,0.0,inf
2014-02-27,101.0,0.0,0.0,101.0,0.0,101.0,100.98064378875665,100.87956989247311,0.2808607291612475,,,inf,,0.0,0.0,inf
2014-02-28,101.0,0.0,0.0,101.0,0.0,101.0,100.9841630998918,100.90967741935484,0.2633706539721601,,,inf,,0.0,0.0,inf
2014-03-03,101.0,0.0,0.0,101.0,0.0,101.0,100.9870425362751,100.93548387096774,0.2466662286363004,,,inf,,0.0,0.0,inf
2014-03-04,101.0,0.0,0.0,101.0,0.0,101.0,100.98939843877052,100.95698924731182,0.23076770475620378,,,inf,,0.0,0.0,inf
2014-03-05,101.0,0.0,0.0,101.0,0.0,101.0,100.99132599535768,100.97419354838709,0.21568176490991675,,,inf,,0.0,0.0,inf
2014-03-06,101.0,0.0,0.0,101.0,0.0,101.0,100.99290308711082,100.98709677419355,0.20140438451855402,,,inf,,0.0,0.0,inf
2014-03-07,101.0,0.0,0.0,101.0,0.0,101.0,100.99419343490884,100.99569892473119,0.18792319606927776,,,inf,,0.0,0.0,inf
2014-03-10,101.0,0.0,0.0,101.0,0.0,101.0,100.99524917401631,101.0,0.17521943650281457,,,inf,,0.0,0.0,inf
2014-03-11,101.0,0.0,0.0,101.0,0.0,101.0,100.99611296055879,101.0,0.16326954582820008,,,inf,,0.0,0.0,inf
2014-03-12,98.0,98.0,98.0,98.0,100.0,100.85,100.45136514954811,100.80645161290323,-0.08726976505165851,,0.0,100.0,,666.6666666666672,-3.0,-0.0
2014-03-13,98.0,0.0,0.0,98.0,0.0,100.7,100.00566239508481,100.61935483870968,-0.2825667206976732,,0.0,100.0,,-45.413260672116245,-3.0,-0.0
