date,date,price,signal,MA_trend,MACD_signal,RSI_signal,STOCH_signal,CCI_signal
2014-01-31,2014-01-31,101.0,HOLD,,,,,
2014-02-28,2014-02-28,101.0,HOLD,,,,,
2014-03-31,2014-03-31,98.0,HOLD,,BEARISH,,,
2014-04-30,2014-04-30,93.0,HOLD,,BEARISH,,,
2014-05-31,2014-05-31,106.0,HOLD,,BEARISH,,,
2014-06-30,2014-06-30,106.0,HOLD,,BULLISH,,,
2014-07-31,2014-07-31,106.0,HOLD,,BULLISH,,,
2014-08-31,2014-08-31,106.0,HOLD,,BULLISH,,,
2014-09-30,2014-09-30,88.0,HOLD,,BEARISH,,,
2014-10-31,2014-10-31,87.0,HOLD,,BEARISH,,,
2014-11-30,2014-11-30,84.0,HOLD,,BEARISH,,,
2014-12-31,2014-12-31,99.0,HOLD,,BEARISH,,,
2015-01-31,2015-01-31,87.0,HOLD,,BEARISH,,,
2015-02-28,2015-02-28,80.0,HOLD,,BEARISH,,,
2015-03-31,2015-03-31,82.0,HOLD,,BEARISH,,,
2015-04-30,2015-04-30,80.0,HOLD,,BEARISH,,,
2015-05-31,2015-05-31,80.0,HOLD,,BEARISH,,,
2015-06-30,2015-06-30,100.0,HOLD,,BEARISH,,OVERBOUGHT,
2015-07-31,2015-07-31,100.0,HOLD,,BEARISH,,OVERBOUGHT,
2015-08-31,2015-08-31,111.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,OVERBOUGHT
2015-09-30,2015-09-30,103.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2015-10-31,2015-10-31,120.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERBOUGHT
2015-11-30,2015-11-30,100.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2015-12-31,2015-12-31,100.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2016-01-31,2016-01-31,100.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERSOLD
2016-02-29,2016-02-29,100.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERSOLD
2016-03-31,2016-03-31,100.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERSOLD
2016-04-30,2016-04-30,100.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERSOLD
2016-05-31,2016-05-31,100.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERSOLD
2016-06-30,2016-06-30,100.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2016-07-31,2016-07-31,97.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2016-08-31,2016-08-31,97.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2016-09-30,2016-09-30,98.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2016-10-31,2016-10-31,146.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERBOUGHT
2016-11-30,2016-11-30,146.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2016-12-31,2016-12-31,146.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2017-01-31,2017-01-31,141.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-02-28,2017-02-28,157.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-03-31,2017-03-31,157.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-04-30,2017-04-30,165.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-05-31,2017-05-31,190.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-06-30,2017-06-30,230.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-07-31,2017-07-31,288.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-08-31,2017-08-31,299.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-09-30,2017-09-30,274.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-10-31,2017-10-31,240.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,
2017-11-30,2017-11-30,216.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,,
2017-12-31,2017-12-31,190.0,HOLD,BEARISH,BULLISH,,,
2018-01-31,2018-01-31,180.0,HOLD,BEARISH,BULLISH,,,
2018-02-28,2018-02-28,246.0,HOLD,BEARISH,BULLISH,,,
2018-03-31,2018-03-31,200.0,HOLD,BEARISH,BULLISH,,,
2018-04-30,2018-04-30,200.0,HOLD,BEARISH,BULLISH,,,OVERSOLD
2018-05-31,2018-05-31,185.0,HOLD,BEARISH,BULLISH,,,
2018-06-30,2018-06-30,210.0,HOLD,BEARISH,BULLISH,,,
2018-07-31,2018-07-31,210.0,HOLD,BEARISH,BULLISH,,,OVERSOLD
2018-08-31,2018-08-31,230.0,HOLD,BEARISH,BULLISH,,,
2018-09-30,2018-09-30,238.0,HOLD,BEARISH,BULLISH,,,
